Symbol,Company Name,Market Cap,Sector,Industry,Sub-Industry,Custom17,IV%
WDC,WESTERN DIGITAL CORPORATION,"11,753 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals",loading,19.0
WEC,WEC ENERGY GROUP INC,"30,935 M",Utilities,Multi-Utilities,Multi-Utilities,loading,37.0
WELL,WELLTOWER INC,"32,769 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Health Care REITs,loading,32.0
WFC,WELLS FARGO & COMPANY,"180,351 M",Financials,Banks,Diversified Banks,loading,0.0
WHR,WHIRLPOOL CORPORATION,"8,082 M",Consumer Discretionary,Household Durables,Household Appliances,loading,3.0
WM,"WASTE MANAGEMENT, INC.","67,322 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services,loading,21.0
WMB,WILLIAMS COMPANIES INC,"41,216 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation,loading,23.0
WMT,WALMART INC,"413,704 M",Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers,loading,2.0
WRB,W R BERKLEY CORP,"19,746 M",Financials,Insurance,Property & Casualty Insurance,loading,13.0
WRK,WESTROCK CO,"9,573 M",Materials,Containers & Packaging,Paper Packaging,loading,2.0
WST,"WEST PHARMACEUTICAL SERVICES, INC.","16,884 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services,loading,38.0
WTW,WILLIS TOWERS WATSON PLC,"26,119 M",Financials,Insurance,Insurance Brokers,loading,23.0
WY,WEYERHAEUSER CO,"23,660 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs,loading,17.0
WYNN,"WYNN RESORTS, LIMITED","8,539 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming,loading,32.0
XEL,XCEL ENERGY INC.,"37,870 M",Utilities,Electric Utilities,Electric Utilities,loading,41.0
XOM,EXXON MOBIL CORP,"467,879 M",Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas,loading,11.0
XRAY,DENTSPLY SIRONA INC,"6,658 M",Health Care,Health Care Equipment & Supplies,Health Care Supplies,loading,30.0
XYL,XYLEM INC,"20,410 M",Industrials,Machinery,Industrial Machinery,loading,13.0
YUM,"YUM! BRANDS, INC.","35,473 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants,loading,14.0
ZBH,ZIMMER BIOMET HOLDINGS INC,"24,765 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment,loading,9.0
ZBRA,ZEBRA TECHNOLOGIES CORPORATION,"13,974 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments,loading,28.0
ZION,ZIONS BANCORP,"7,708 M",Financials,Banks,Regional Banks,loading,10.0
ZTS,ZOETIS INC,"70,130 M",Health Care,Pharmaceuticals,Pharmaceuticals,loading,21.0
