Watchlist 'S&P 500 Sectors & Industries'

S&P 500 Sectors & Industries
Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry,%IV_Change,IV_PERC
$SP500#55101010,S&P 500 Electric Utilities (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#551010,S&P 500 Electric Utilities (Industry),<empty>,0,,,,NaN,NaN
$SP500#30101010,S&P 500 Drug Retail (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#501010,S&P 500 Diversified Telecommunication Services (Industry),<empty>,0,,,,NaN,NaN
$SP500#20201070,S&P 500 Diversified Support Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#4020TR,S&P 500 Diversified Financials (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#4020,S&P 500 Diversified Financials (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#402010,S&P 500 Diversified Financial Services (Industry),<empty>,0,,,,NaN,NaN
$SP500#253020,S&P 500 Diversified Consumer Services (Industry),<empty>,0,,,,NaN,NaN
$SP500#15101020,S&P 500 Diversified Chemicals (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#40101010,S&P 500 Diversified Banks (Sub Ind),<empty>,0,,,,NaN,loading
$SP500#25501010,S&P 500 Distributors (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#255010,S&P 500 Distributors (Industry),<empty>,0,,,,NaN,NaN
$SP500#30201020,S&P 500 Distillers & Vintners (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#25503010,S&P 500 Department Stores (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#45102020,S&P 500 Data Processing & Outsourced Services (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#15104025,S&P 500 Copper (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#151030,S&P 500 Containers & Packaging (Industry),<empty>,0,,,,NaN,NaN
$SP500#30,S&P 500 Consumer Staples (Sector),<empty>,0,,,,NaN,NaN
$SP500#2530TR,S&P 500 Consumer Services (Industry Group) (TR),<empty>,0,,,,NaN,NaN
$SP500#2530,S&P 500 Consumer Services (Industry Group),<empty>,0,,,,NaN,NaN
$SP500#40202010,S&P 500 Consumer Finance (Sub Ind),<empty>,0,,,,NaN,NaN
$SP500#402020,S&P 500 Consumer Finance (Industry),<empty>,0,,,,NaN,NaN
