,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
10,0.61,2011-07-28,2011-06,26.0,8376000000,1.9043,1.8001,57083000000,6.6429,-0.1911,0.7456,0.0723,0.1213,2.6036,0.1096,0.0,0.2088,0.0,0.0,0.173,29927000000,0.1178,0.4278,3.4827,176925000000,3.0994,7.6425,7.1806,6.3027,2.5295,4.0432,0.1508,0.2809,0.5251,24639000000,0.0717,0.115,0.3522,0.3529,2.8673,0.7772,0.8098,0.0853,0.1753,217776000000,2311000000,0.234,0.3309,20370750000,0.1271,0.3672,3.1608,0.3883,0.2267,0.6235,0.0697,0.1222,3.2667,0.4013,0.3972,3.815,9.4071,8.8386,7.758,3.1136,4.9768,0.107,0.1193,8.1395,0.2376,0.1864,0.3855,0.4483,0.3349,0.3822,0.29295235247787,0.4367,0.3213,0.4764,-0.0374,-292000000,-0.0336,5.0922,43758000000,0.0633,0.2623,0.019,0.2362,FY2011,2011
11,0.76,2012-07-26,2012-06,30.59,8381000000,1.8273,1.8461,66363000000,7.8019,0.0212,-0.278,0.081,0.1715,2.6029,0.0984,0.0,0.1799,0.0,0.0,0.2459,30923000000,0.0332,0.4194,3.6354,204047790000,3.0747,12.0183,6.9591,9.1636,2.7677,4.1022,0.1106,-0.2565,0.5472,29321000000,0.0787,0.19,0.3977,0.3529,3.447,0.7622,0.8048,0.0336,0.2375,256374790000,5006000000,-0.2666,0.2302,20967000000,0.0292,0.3672,3.2866,0.3792,0.38,1.3641,0.0131,-0.2067,2.6177,0.302,0.3936,3.8632,15.1004,8.7437,11.5136,3.4775,5.1541,0.1002,0.054,8.6671,0.1476,0.1864,0.3293,0.275,0.3349,0.2305,0.29295235247787,0.2596,0.3213,0.3999,-0.0101,5000000,0.0005,5.8477,49741000000,0.0601,0.1156,0.0243,0.1625,FY2012,2012
12,0.89,2013-07-30,2013-06,34.55,8328000000,1.8042,1.8461,78944000000,9.3204,-0.8468,-0.4517,0.062,-0.0883,2.7117,0.1095,0.0344,0.1976,0.0643,0.2724,0.171,30519000000,-0.013,0.392,3.6031,223311400000,2.8287,10.2141,9.0865,8.2548,2.8685,3.6485,0.1409,0.29,0.5542,24576000000,0.0512,-0.1618,0.3156,0.3339,2.9015,0.7381,0.7968,0.0226,0.1918,287732400000,11796000000,0.2877,0.2808,20073000000,-0.0426,0.3672,3.1598,0.3437,0.3449,0.9335,0.2082,0.2148,3.1938,0.3474,0.3936,3.6447,13.1607,11.7078,10.6362,3.696,4.701,0.0923,0.0559,9.1911,0.1658,0.1864,0.2705,0.3009,0.3425,0.2529,0.29295235247787,0.2697,0.3213,0.3274,-0.0042,-53000000,-0.0063,7.2262,61206000000,0.0571,0.1744,0.0197,0.1895,FY2013,2013
13,1.07,2014-07-31,2014-06,41.7,8239000000,1.9199,1.8846,89784000000,10.6898,-0.2884,1.2789,0.0831,0.1272,2.504,0.1313,0.0713,0.2522,0.1369,0.2092,0.2022,33098000000,0.0845,0.3811,3.9407,278502300000,3.1019,12.6167,10.3084,10.0108,3.2073,4.4435,0.1336,0.0193,0.5208,27017000000,0.0717,0.0993,0.3111,0.3134,3.2166,0.6881,0.7914,0.0398,0.2065,343566300000,13976000000,0.0096,0.2542,20914500000,0.0419,0.3672,3.3201,0.3211,0.4068,1.1643,0.3022,0.0283,3.3122,0.3203,0.3936,3.8265,15.5642,12.7166,12.3496,3.9566,5.4816,0.0895,0.1154,10.3384,0.1402,0.1864,0.2355,0.2616,0.3425,0.2133,0.29295235247787,0.2269,0.3213,0.2905,-0.0083,-89000000,-0.0106,7.4623,62676000000,0.0621,0.2102,0.0183,0.1373,FY2014,2014
14,1.21,2015-07-31,2015-06,44.15,8027000000,2.1786,1.9121,80083000000,9.7023,-0.0836,-0.3545,0.0597,-0.0871,2.4734,0.2022,0.0861,0.4406,0.1626,0.1422,0.1308,34129000000,0.0311,0.3647,4.1348,285674050000,3.5672,23.4293,12.0415,15.4359,3.0527,4.8993,0.0282,-0.4372,0.459,23724000000,0.0415,-0.1218,0.2535,0.308,2.8742,0.6469,0.784,0.0131,0.3411,354392050000,29697000000,-0.4476,0.1302,21129000000,0.0102,0.3646,3.4131,0.301,0.8175,10.2836,0.1321,-0.3347,2.2421,0.1977,0.3703,4.4253,29.0652,14.9381,19.149,3.787,6.0778,0.0892,0.0777,11.3375,0.0703,0.1864,0.2158,0.1435,0.3425,0.107,0.29295235247787,0.1141,0.3213,0.2655,-0.0172,-212000000,-0.0257,7.0643,58309000000,0.0943,0.0121,0.0522,-0.108,FY2015,2015
15,1.39,2016-07-28,2016-06,51.17,7808000000,2.6871,1.9444,71997000000,8.985,-0.4036,0.1635,0.0874,0.1232,2.3528,0.2763,0.104,0.7425,0.1887,0.1512,0.1487,33810000000,-0.0093,0.3709,4.2193,326852360000,4.5398,15.9137,13.0835,12.7482,3.5857,6.4861,0.0787,0.7297,0.3721,24982000000,0.0689,0.053,0.274,0.308,3.1176,0.6403,0.7697,-0.0358,0.1989,399535360000,46951000000,0.6844,0.2253,20391000000,-0.0349,0.3545,3.3929,0.2982,0.5429,2.4713,0.246,0.3853,3.1996,0.2812,0.3433,5.5493,19.4525,15.9929,15.5831,4.383,7.9285,0.0748,-0.0259,11.3757,0.1116,0.1795,0.1946,0.2701,0.3425,0.1705,0.29295235247787,0.1795,0.305,0.2304,-0.0291,-219000000,-0.0272,6.2887,50392000000,0.1076,0.1088,0.0602,-0.1009,FY2016,2016
16,1.53,2017-08-02,2017-06,68.93,7708000000,2.8538,1.9444,87711000000,11.199,0.0256,0.1771,0.083,0.1855,2.9185,0.3658,0.1095,1.0439,0.2032,0.1464,0.1007,38109000000,0.1271,0.3946,4.8658,474404440000,5.4087,18.6121,15.119,15.8658,4.9124,11.1669,0.0863,0.2695,0.3504,31378000000,0.0728,0.256,0.3249,0.3134,4.0063,0.6452,0.7501,0.0674,0.1475,531312440000,78531000000,0.241,0.2639,21998250000,0.0788,0.3461,3.745,0.3037,0.4707,2.4147,0.65,0.1662,3.8177,0.3096,0.3297,6.0575,20.8447,16.9326,17.769,5.5017,12.5064,0.0656,0.0594,12.3303,0.1148,0.1567,0.1667,0.3191,0.31,0.1672,0.29295235247787,0.1754,0.2417,0.2059,-0.0225,-100000000,-0.0128,5.4242,42483000000,0.1476,0.2938,0.1092,0.2182,FY2017,2017
17,1.65,2018-08-03,2018-06,98.61,7677000000,3.1292,1.9444,82718000000,10.613,-0.4309,0.5589,0.0733,0.1107,2.9008,0.316,0.1205,0.9889,0.2305,0.1439,0.0784,45319000000,0.1891,0.4106,5.8146,695606970000,8.4093,41.9773,21.5678,19.0713,6.303,17.8443,0.0131,-0.3446,0.3195,32252000000,0.0575,0.0278,0.2922,0.3134,4.138,0.6524,0.7131,0.1556,0.5456,757028970000,64294000000,-0.3498,0.1501,26293500000,0.1952,0.3324,4.498,0.3176,0.7746,34.864,0.1933,0.2198,4.6797,0.3305,0.3254,9.1519,45.6839,23.4723,20.7553,6.8596,19.4199,0.062,0.1427,14.1596,0.065,0.1439,0.1714,0.1944,0.2879,0.0963,0.29295235247787,0.1022,0.2219,0.219,-0.0048,-31000000,-0.004,5.0015,38982000000,0.1352,0.0341,0.0858,-0.0569,FY2018,2018
18,1.8,2019-08-01,2019-06,133.96,7643000000,2.8003,2.0493,102330000000,13.1987,-0.1971,-0.0493,0.1061,0.1891,2.5288,0.2734,0.1668,0.7658,0.3464,0.1366,0.0909,54641000000,0.2056,0.4341,7.0477,956686280000,9.349,24.3803,25.0048,21.8981,7.6022,18.2038,0.1206,1.3755,0.3571,38260000000,0.0916,0.1862,0.304,0.3134,4.9348,0.659,0.6735,0.1517,0.1018,1023856280000,60822000000,1.3679,0.3118,32219250000,0.2253,0.3312,5.5409,0.3413,0.3557,2.1629,0.2133,0.1977,5.6349,0.3471,0.3254,10.0054,26.0921,26.7604,23.4356,8.1359,19.4819,0.0797,0.1402,16.2315,0.1438,0.142,0.2012,0.4241,0.2879,0.2273,0.29295235247787,0.2437,0.2203,0.2576,-0.0052,-34000000,-0.0044,6.7785,52554000000,0.1391,0.107,0.0997,0.237,FY2019,2019
19,1.99,2020-07-31,2020-06,203.51,7571000000,2.5469,2.3627,118304000000,15.3981,-0.1088,0.1954,0.0968,0.1626,2.5157,0.2356,0.2189,0.6001,0.5204,0.1436,0.1055,65755000000,0.2034,0.4597,8.5585,1463860210000,12.3737,33.0584,32.3619,27.6012,10.2357,21.5542,0.1061,0.1383,0.3926,45234000000,0.0742,0.1822,0.3162,0.3134,5.8875,0.6778,0.6684,0.1688,0.165,1540774210000,49751000000,0.1284,0.3096,39719250000,0.2327,0.3312,6.893,0.3703,0.3454,3.2774,0.2063,0.2139,6.903,0.3708,0.3254,13.0238,34.7953,34.0623,29.0514,10.7735,22.6868,0.0863,0.1364,18.6144,0.1506,0.142,0.2325,0.4013,0.2879,0.2393,0.29295235247787,0.2566,0.2203,0.2981,-0.009,-72000000,-0.0094,8.8396,67915000000,0.1334,0.0514,0.0986,0.1561,FY2020,2020
20,2.19,2021-07-29,2021-06,270.9,7519000000,2.3507,2.4488,141988000000,18.6629,-0.3355,0.0477,0.1101,0.2647,2.0799,0.203,0.2193,0.4773,0.5387,0.1363,0.1005,81602000000,0.241,0.4854,10.7258,1956715100000,13.7808,31.9354,34.8678,27.5198,11.641,23.1626,0.1158,0.3975,0.4253,56118000000,0.0857,0.2406,0.3338,0.3134,7.3761,0.6892,0.6684,0.1951,0.1382,2036897100000,43922000000,0.3836,0.3645,52437000000,0.3201,0.3312,9.1898,0.4159,0.272,2.8696,0.3383,0.3406,9.3456,0.423,0.3254,14.3455,33.244,36.2966,28.6475,12.118,24.1118,0.0916,0.1753,22.0935,0.1929,0.142,0.2877,0.4707,0.2879,0.307,0.29295235247787,0.33,0.2203,0.3698,-0.0097,-52000000,-0.0068,11.1037,84477000000,0.1187,0.1077,0.0954,0.2001,FY2021,2021
21,2.42,2022-07-28,2022-06,256.83,7464000000,2.1906,2.4488,166542000000,22.0877,-0.1582,-0.0205,0.109,0.1602,1.7846,0.1679,0.2193,0.3678,0.5387,0.1227,0.105,97843000000,0.199,0.4934,12.9765,1859262120000,11.1639,25.561,28.5386,22.2091,9.3774,21.1954,0.1704,0.1987,0.4564,65149000000,0.0831,0.1609,0.3285,0.3134,8.6404,0.684,0.6684,0.1705,0.1311,1916979120000,35850000000,0.1871,0.3668,62537250000,0.1926,0.3312,11.0587,0.4205,0.2507,1.5462,0.2364,0.1774,11.1029,0.4222,0.3388,11.5104,26.3545,29.4245,22.8985,9.6685,21.8533,0.1039,0.1795,26.2957,0.2082,0.142,0.3172,0.4715,0.31,0.3324,0.29295235247787,0.3553,0.2203,0.4282,-0.0089,-55000000,-0.0073,11.6339,87720000000,0.1164,0.093,0.0963,0.1729,FY2022,2022
22,2.66,2023-07-27,2023-06,340.54,7432000000,1.9977,2.4488,206223000000,27.5994,-0.1767,1.4911,0.1175,-0.0163,1.7691,0.1455,0.2193,0.2907,0.5387,0.1157,0.0991,102384000000,0.0464,0.4831,13.7023,2461627280000,11.9367,34.0187,41.3892,27.5624,11.6161,19.0866,0.1413,0.0031,0.5005,59475000000,0.0924,-0.087,0.2806,0.3075,7.9597,0.6892,0.6684,0.0769,0.1897,2530893280000,12533000000,-0.0051,0.3414,66392250000,0.0616,0.3312,11.8472,0.4177,0.2747,2.4741,0.2563,0.0668,11.9527,0.4214,0.3388,12.2726,34.9759,42.5539,28.3379,11.9429,19.6237,0.1053,0.0688,28.3612,0.1863,0.142,0.3023,0.3882,0.3537,0.2929,0.29295235247787,0.3249,0.2203,0.4122,-0.009,-32000000,-0.0042,17.2605,128971000000,0.112,0.1291,0.1007,0.2382,FY2023,2023
23,2.93,2024-07-30,2024-06,446.95,7434139000,1.9076,2.4488,268477000000,35.9455,-0.5824,-0.4722,0.1381,0.3535,1.2749,0.131,0.2193,0.25,0.5387,0.1059,0.1015,131720000000,0.2865,0.5373,17.6355,3289845426050,12.2537,37.3269,44.4147,30.5217,13.4212,27.0413,0.1619,0.219,0.5242,74071000000,0.1061,0.2454,0.3021,0.3031,9.9171,0.6976,0.6684,0.1708,0.1823,3322688426050,33315000000,0.218,0.3595,82074750000,0.2362,0.3558,14.6516,0.4464,0.2483,2.3276,0.4051,0.2068,14.4312,0.4397,0.359,12.376,37.6995,44.8581,30.8264,13.5552,27.3112,0.1093,0.1566,32.8185,0.1907,0.1472,0.3087,0.3713,0.3797,0.2929,0.29295235247787,0.3212,0.2333,0.4514,-0.0004,2139000,0.0002,16.2886,121660000000,0.115,0.2431,0.1157,0.3018,FY2024,2024
