Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
WLTW,WILLIS TOWERS WATSON PLC COM,<empty>,<empty>,Financials,Insurance,Insurance Brokers
WM,WASTE MANAGEMENT INC COM,"WASTE MANAGEMENT, INC.","65,532 M",Industrials,Commercial Services & Supplies,Environmental & Facilities Services
WMB,WILLIAMS COMPANIES INC COM,WILLIAMS COMPANIES INC,"45,962 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
WMT,WALMART INC COM,WALMART INC,"348,557 M",Consumer Staples,Food & Staples Retailing,Hypermarkets & Super Centers
WPC,WP CAREY INC COM USD0.001,WP CAREY INC,"16,077 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Diversified REITs
WRB,BERKLEY (WR) CORP COM,W R BERKLEY CORP,"18,749 M",Financials,Insurance,Property & Casualty Insurance
WRK,WESTROCK CO COM,WESTROCK CO,"12,523 M",Materials,Containers & Packaging,Paper Packaging
WSM,WILLIAMS-SONOMA INC COM,"WILLIAMS-SONOMA, INC.","8,725 M",Consumer Discretionary,Specialty Retail,Homefurnishing Retail
WSO,WATSCO INC COM,WATSCO INC,"10,163 M",Industrials,Trading Companies & Distributors,Trading Companies & Distributors
WST,WEST PHARMA SERVICES INC COM,"WEST PHARMACEUTICAL SERVICES, INC.","23,082 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
WTFC,WINTRUST FINANCIAL CORP COM,WINTRUST FINANCIAL CORPORATION,"5,131 M",Financials,Banks,Regional Banks
WTM,WHITE MOUNTAINS INSURANCE GRP COM,WHITE MOUNTAINS INSURANCE GROUP LTD,"3,726 M",Financials,Insurance,Property & Casualty Insurance
WTRG,ESSENTIAL UTILITIES INC COM,ESSENTIAL UTILITIES INC,"12,336 M",Utilities,Water Utilities,Water Utilities
WU,WESTERN UNION COMPANY (THE) COM,WESTERN UNION CO,"6,841 M",Information Technology,IT Services,Data Processing & Outsourced Services
WWD,WOODWARD INC COM,WOODWARD INC,"6,192 M",Industrials,Aerospace & Defense,Aerospace & Defense
WWE,WORLD WRESTLING ENTERTAINMENT COM CL A,"WORLD WRESTLING ENTERTAINMENT, INC.","4,992 M",Communication Services,Entertainment,Movies & Entertainment
WY,WEYERHAEUSER COMPANY COM USD1.25,WEYERHAEUSER CO,"28,689 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
WYNN,WYNN RESORTS LTD COM,"WYNN RESORTS, LIMITED","7,604 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Casinos & Gaming
XEL,XCEL ENERGY INC COM,XCEL ENERGY INC.,"41,018 M",Utilities,Electric Utilities,Electric Utilities
XLNX,XILINX INC 1.7234:1 EXC 2/15/22 007903107,"XILINX, INC.",<empty>,Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
XOM,EXXON MOBIL CORPORATION COM,EXXON MOBIL CORP,"419,214 M",Energy,"Oil, Gas & Consumable Fuels",Integrated Oil & Gas
XPO,XPO LOGISTICS INC COM,XPO LOGISTICS INC,"6,416 M",Industrials,Road & Rail,Trucking
XRAY,DENTSPLY SIRONA INC COM,DENTSPLY SIRONA INC,"8,808 M",Health Care,Health Care Equipment & Supplies,Health Care Supplies
XRX,XEROX HOLDINGS CORPORATION COM,XEROX HOLDINGS CORP,"2,918 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
XYL,XYLEM INC COM,XYLEM INC,"15,384 M",Industrials,Machinery,Industrial Machinery
Y,ALLEGHANY CORP COM,ALLEGHANY CORPORATION,"11,213 M",Financials,Insurance,Reinsurance
YUM,YUM BRANDS INC COM,"YUM! BRANDS, INC.","34,108 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
YUMC,YUM CHINA HOLDINGS INC COM,YUM CHINA HOLDINGS INC,"18,608 M",Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
Z,ZILLOW GROUP INC COM CL C,ZILLOW GROUP INC,"10,000 M",Real Estate,Real Estate Management & Development,Real Estate Services
ZBH,ZIMMER BIOMET HOLDINGS INC COM,ZIMMER BIOMET HOLDINGS INC,"25,252 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
ZBRA,ZEBRA TECHNOLOGIES COM CL A,ZEBRA TECHNOLOGIES CORPORATION,"17,776 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
ZEN,ZENDESK INC COM,ZENDESK INC,"11,203 M",Information Technology,Software,Application Software
ZG,ZILLOW GROUP INC COM CL A,ZILLOW GROUP INC,"9,957 M",Real Estate,Real Estate Management & Development,Real Estate Services
ZION,ZIONS BANCORPORATION N A COM,ZIONS BANCORP,"8,534 M",Financials,Banks,Regional Banks
ZM,ZOOM VIDEO COMMUNICATIONS INC COM CL A,ZOOM VIDEO COMMUNICATIONS INC,"32,816 M",Information Technology,Software,Application Software
ZNGA,ZYNGA INC MRG $3.50/SH & .0406:1 5/24/22,ZYNGA INC,"9,303 M",Communication Services,Entertainment,Interactive Home Entertainment
ZS,ZSCALER INC COM,ZSCALER INC,"22,569 M",Information Technology,Software,Systems Software
ZTS,ZOETIS INC COM CL A,ZOETIS INC,"79,790 M",Health Care,Pharmaceuticals,Pharmaceuticals
