Symbol,Description,Company Name,Market Cap,Sector,Industry,Sub-Industry
HBAN,HUNTINGTON BANCSHARES INC COM,HUNTINGTON BANCSHARES INCORPORATED,"19,530 M",Financials,Banks,Regional Banks
HCA,HCA HEALTHCARE INC COM,HCA HEALTHCARE INC,"61,610 M",Health Care,Health Care Providers & Services,Health Care Facilities
HD,HOME DEPOT INC COM,HOME DEPOT INC,"313,560 M",Consumer Discretionary,Specialty Retail,Home Improvement Retail
HES,HESS CORPORATION COM,HESS CORPORATION,"39,505 M",Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
HIG,THE HARTFORD FIN SERVICES GRP COM,HARTFORD FINANCIAL SERVICES GROUP INC,"23,534 M",Financials,Insurance,Multi-line Insurance
HII,HUNTINGTON INGALLS INDUSTRIES COM,HUNTINGTON INGALLS INDUSTRIES INC,"8,531 M",Industrials,Aerospace & Defense,Aerospace & Defense
HLT,HILTON WORLDWIDE HOLDINGS INC COM,HILTON WORLDWIDE HOLDINGS INC,"39,316 M",Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
HOLX,HOLOGIC INC COM,"HOLOGIC, INC.","18,762 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
HON,HONEYWELL INTERNATIONAL INC COM,HONEYWELL INTERNATIONAL INCORPORATED,"132,729 M",Industrials,Industrial Conglomerates,Industrial Conglomerates
HPE,HEWLETT PACKARD ENTERPRISE CO COM,HEWLETT PACKARD ENTERPRISE CO,"19,517 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
HPQ,HP INCORPORATION COM,HP INC,"41,992 M",Information Technology,"Technology Hardware, Storage & Peripherals","Technology Hardware, Storage & Peripherals"
HRL,HORMEL FOODS CORP COM,HORMEL FOODS CORPORATION,"25,184 M",Consumer Staples,Food Products,Packaged Foods & Meats
HSIC,HENRY SCHEIN INC COM,"HENRY SCHEIN, INC.","11,669 M",Health Care,Health Care Providers & Services,Health Care Distributors
HST,HOST HOTELS & RESORTS INC COM STK USD0.01,"HOST HOTELS & RESORTS, INC.","14,673 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Hotel & Resort REITs
HSY,HERSHEY COMPANY COM,HERSHEY CO,"42,899 M",Consumer Staples,Food Products,Packaged Foods & Meats
HUM,HUMANA INC COM,HUMANA INC,"56,360 M",Health Care,Health Care Providers & Services,Managed Health Care
HWM,HOWMET AEROSPACE INC COM,HOWMET AEROSPACE INC,"15,258 M",Industrials,Aerospace & Defense,Aerospace & Defense
IBM,INTERNATIONAL BUS MACH CORP COM,INTERNATIONAL BUSINESS MACHINES CORPORATION,"127,508 M",Information Technology,IT Services,IT Consulting & Other Services
ICE,INTERCONTINENTAL EXCHANGE INC COM,INTERCONTINENTAL EXCHANGE INC,"56,882 M",Financials,Capital Markets,Financial Exchanges & Data
IDXX,IDEXX LABORATORIES INC COM,IDEXX LABORATORIES INCORPORATED,"31,673 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
IEX,IDEX CORP COM,IDEX CORPORATION,"14,798 M",Industrials,Machinery,Industrial Machinery
IFF,INTL FLAVORS & FRAGRANCES INC COM,INTERNATIONAL FLAVORS & FRAGRANCES INCORPORATED,"33,960 M",Materials,Chemicals,Specialty Chemicals
ILMN,ILLUMINA INC COM,"ILLUMINA, INC.","38,062 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
INCY,INCYTE CORPORATION COM,INCYTE CORP.,"16,536 M",Health Care,Biotechnology,Biotechnology
INTC,INTEL CORP COM,INTEL CORPORATION,"179,180 M",Information Technology,Semiconductors & Semiconductor Equipment,Semiconductors
INTU,INTUIT INC COM,INTUIT INC.,"117,298 M",Information Technology,Software,Application Software
IP,INTERNATIONAL PAPER CO COM,INTERNATIONAL PAPER COMPANY,"17,451 M",Materials,Containers & Packaging,Paper Packaging
IPG,INTERPUBLIC GROUP COS INC COM,INTERPUBLIC GROUP OF COMPANIES INC,"12,298 M",Communication Services,Media,Advertising
IPGP,IPG PHOTONICS CORPORATION COM,IPG PHOTONICS CORP,"5,333 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Manufacturing Services
IQV,IQVIA HOLDINGS INC COM,IQVIA HOLDINGS INC,"41,507 M",Health Care,Life Sciences Tools & Services,Life Sciences Tools & Services
IR,INGERSOLL RAND INC COM,INGERSOLL RAND INC,"19,529 M",Industrials,Machinery,Industrial Machinery
IRM,IRON MOUNTAIN INC COM,IRON MOUNTAIN INCORPORATED,"15,545 M",Real Estate,Equity Real Estate Investment Trusts (REITs),Specialized REITs
ISRG,INTUITIVE SURGICAL INC COM,"INTUITIVE SURGICAL, INC.","79,699 M",Health Care,Health Care Equipment & Supplies,Health Care Equipment
IT,GARTNER INC COM,GARTNER INCORPORATED,"21,226 M",Information Technology,IT Services,IT Consulting & Other Services
ITW,ILLINOIS TOOL WORKS INC COM,ILLINOIS TOOL WORKS INCORPORATED,"64,677 M",Industrials,Machinery,Industrial Machinery
IVZ,INVESCO LTD COM,INVESCO LIMITED,"8,605 M",Financials,Capital Markets,Asset Management & Custody Banks
J,JACOBS ENGINEERING GROUP INC COM,JACOBS ENGINEERING GROUP INC,"17,758 M",Industrials,Professional Services,Research & Consulting Services
JBHT,J B HUNT TRANSPORT SERVICES IN COM,J B HUNT TRANSPORT SERVICES INC,"18,595 M",Industrials,Road & Rail,Trucking
JCI,JOHNSON CONTROLS INTL PLC COM,JOHNSON CONTROLS INTERNATIONAL PLC,"38,137 M",Industrials,Building Products,Building Products
JKHY,HENRY JACK & ASSOCIATES INC COM,"JACK HENRY & ASSOCIATES, INC.","13,612 M",Information Technology,IT Services,Data Processing & Outsourced Services
JNJ,JOHNSON & JOHNSON COM,JOHNSON & JOHNSON,"467,205 M",Health Care,Pharmaceuticals,Pharmaceuticals
JNPR,JUNIPER NETWORKS COM,JUNIPER NETWORKS INC,"9,967 M",Information Technology,Communications Equipment,Communications Equipment
JPM,JP MORGAN CHASE & CO COM,JPMORGAN CHASE & CO.,"383,638 M",Financials,Banks,Diversified Banks
K,KELLOGG COMPANY COM,KELLOGG COMPANY,"22,962 M",Consumer Staples,Food Products,Packaged Foods & Meats
KEY,KEYCORP COM,KEYCORP,"18,314 M",Financials,Banks,Regional Banks
KEYS,KEYSIGHT TECHNOLOGIES INC COM,KEYSIGHT TECHNOLOGIES INC,"26,355 M",Information Technology,"Electronic Equipment, Instruments & Components",Electronic Equipment & Instruments
