,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
16,0.1,2006-06-02,2006-04,53.1,868300000,2.4181,2.5046,14370000000,16.3742,-0.2328,-0.1414,0.0287,-0.1216,1.3963,0.2834,0.2916,0.6854,0.7309,0.0363,0.0,1351000000,0.0834,0.105,1.5394,53713730000,3.7379,21.764,60.8999,13.5984,0.9945,3.7379,0.0667,0.1454,0.4135,-352000000,0.0,-2.115,-0.0273,-0.0128,-0.401,0.3288,0.327,0.0788,0.3747,46106730000,8861000000,0.1214,0.043,762750000,0.1212,0.079,1.1588,0.079,0.1587,2.7967,0.1319,0.113,1.0095,0.0688,0.0691,3.2085,18.6818,52.2752,11.6725,0.8537,3.2085,0.0272,0.1207,14.657,0.0707,0.0731,0.169,0.1727,0.1766,0.1022,0.12665024611553,0.1081,0.1047,0.1696,-0.0177,-5775000.0,-0.0066,16.3742,14370000000,0.0101,0.1103,0.0342,0.1014,FY2007.FQ1,1
17,0.1,2006-09-01,2006-07,45.92,857800000,2.4645,2.4715,14373000000,16.574,0.041,-0.3146,-0.1324,-0.2517,1.4067,0.2994,0.2916,0.738,0.7309,0.0363,0.0,1504000000,0.135,0.1126,1.7343,48264176000,3.3579,19.0241,68.0735,11.8439,0.8717,3.3579,0.0189,0.1475,0.4057,-363000000,0.0,-0.9105,-0.0271,-0.0178,-0.4185,0.3364,0.3289,0.1298,0.3873,39390176000,10131000000,0.1277,0.0456,850500000,0.1583,0.079,1.3076,0.0849,0.1428,8.1789,0.1239,0.1438,1.1462,0.0744,0.0691,2.7405,15.5262,55.5573,9.6663,0.7114,2.7405,-0.0024,0.1131,15.3909,0.0723,0.0739,0.1721,0.1765,0.1782,0.1031,0.12665024611553,0.1062,0.1052,0.1721,-0.0269,-10500000.0,-0.012,16.574,14373000000,0.012,0.1097,0.0258,0.0629,FY2007.FQ2,2
18,0.12,2006-12-01,2006-10,59.18,858900000,2.5585,2.4715,14800000000,17.1217,-0.2585,-0.1033,-0.0077,0.5,1.2874,0.3004,0.2916,0.7686,0.7309,0.0553,0.2,1347000000,0.1367,0.0992,1.5583,59501702000,4.0203,22.815,89.6109,14.2689,1.0489,4.0203,0.0229,0.204,0.3908,-557000000,0.0,-0.0878,-0.041,-0.0234,-0.6443,0.3313,0.3289,0.1324,0.3737,50829702000,10925000000,0.1632,0.0372,717750000,0.1516,0.079,1.1071,0.0705,0.2033,8.474,0.1266,0.1332,0.9347,0.0595,0.0691,3.4344,19.4899,76.5507,12.1893,0.896,3.4344,0.0291,0.1117,15.6987,0.0711,0.0739,0.1707,0.1787,0.1793,0.1019,0.12665024611553,0.1038,0.1052,0.1707,-0.0254,1100000.0,0.0012,17.1217,14800000000,0.0198,0.0976,0.0258,0.0917,FY2007.FQ3,3
19,0.12,2007-03-15,2007-01,61.36,859771000,2.3891,2.464,15633000000,18.0665,-0.269,-0.5066,0.1913,0.1972,1.3228,0.2687,0.2873,0.642,0.7124,0.0553,0.0,2363000000,0.1964,0.1198,2.7308,60617548560,3.8775,21.7423,60.8609,13.4765,1.0189,3.9308,-0.0169,0.2169,0.4185,2268000000,0.0,0.1714,0.115,-0.0215,2.621,0.3128,0.3289,0.1791,0.3817,52755548560,9224000000,0.1916,0.0567,1470750000,0.221,0.0803,2.2662,0.0994,0.093,-11.1848,0.1256,0.2213,2.0917,0.0918,0.0709,3.3746,18.9223,52.9674,11.7286,0.8867,3.421,0.0644,0.163,22.7782,0.0741,0.0732,0.1817,0.1832,0.1793,0.1075,0.12665024611553,0.1102,0.1052,0.1824,-0.0222,871000.0,0.001,17.8215,15421000000,0.0178,0.0672,0.0237,0.1005,FY2007.FQ4,4
20,0.12,2007-06-01,2007-04,59.37,851489000,2.4367,2.4501,15711000000,18.2093,-0.3412,-0.0202,0.0,-0.1233,1.4567,0.2996,0.2873,0.7302,0.7124,0.0413,0.0,1592000000,0.1783,0.1133,1.8451,59734901930,3.8021,20.7053,94.667,12.7747,0.9846,3.8021,0.0242,0.1904,0.4103,-717000000,0.0,-1.0369,-0.051,-0.0215,-0.831,0.3336,0.3301,0.1075,0.3881,50552901930,10504000000,0.175,0.0463,900000000,0.1799,0.0833,1.3908,0.0854,0.16,7.2153,0.1349,0.2009,1.2331,0.0757,0.0734,3.2176,17.5226,80.1155,10.8111,0.8332,3.2176,0.0255,0.0915,16.2737,0.0762,0.0732,0.1839,0.184,0.1793,0.1091,0.12665024611553,0.1129,0.1052,0.1846,-0.0168,-8282000.0,-0.0096,18.2093,15711000000,0.0187,0.1017,0.0239,0.0933,FY2008.FQ1,1
21,0.12,2007-08-31,2007-07,60.57,847800000,2.4737,2.4501,15954000000,18.6074,-0.1621,0.1635,-0.1031,0.1542,1.3728,0.3119,0.2873,0.7717,0.7124,0.0413,0.0,1671000000,0.111,0.1142,1.9489,60948246000,3.8202,20.5767,107.4924,12.7107,0.9839,3.8202,-0.0138,0.1428,0.4042,-427000000,0.0,-0.1763,-0.0292,-0.0272,-0.498,0.3367,0.3314,0.0964,0.3836,51351246000,11757000000,0.1264,0.0469,950250000,0.1172,0.0833,1.4777,0.0866,0.15,-12.4913,0.1367,0.1197,1.2981,0.0761,0.0734,3.2187,17.3366,90.5665,10.7093,0.829,3.2187,-0.0038,0.0953,17.0515,0.0761,0.0732,0.1791,0.187,0.1793,0.1068,0.12665024611553,0.1098,0.1049,0.1791,-0.0113,-3689000.0,-0.0043,18.6074,15954000000,0.0202,0.1141,0.0204,0.1099,FY2008.FQ2,2
22,0.14,2007-11-30,2007-10,61.36,845000000,2.6787,2.464,16160000000,18.9894,0.0745,0.3902,-0.0438,-0.2946,1.3517,0.3265,0.2931,0.8748,0.73,0.0575,0.1666,1387000000,0.0296,0.0934,1.6298,62461200000,3.8651,21.2525,127.7325,13.1,0.9882,3.8651,0.0018,-0.0508,0.3733,-635000000,0.0,-0.14,-0.0428,-0.0282,-0.7461,0.3263,0.3301,0.0767,0.3815,51849200000,13511000000,-0.0454,0.0325,718500000,0.001,0.0833,1.1257,0.0645,0.25,97.821,0.128,-0.0334,0.9177,0.0526,0.0734,3.2084,17.6417,106.031,10.8744,0.8203,3.2084,0.0259,0.0932,17.4324,0.071,0.0717,0.1703,0.183,0.1793,0.1003,0.12665024611553,0.1024,0.1026,0.1703,-0.0155,-2800000.0,-0.0033,18.9894,16160000000,0.0329,0.1431,0.0216,0.0918,FY2008.FQ3,3
23,0.14,2008-03-13,2008-01,55.42,818738000,2.911,2.4691,15307000000,18.3471,-0.0306,2.0135,0.1145,-0.1939,1.6046,0.3835,0.2995,1.1164,0.7341,0.0575,0.0,2280000000,-0.0351,0.1147,2.7328,58050459960,3.7924,20.3828,-389.6004,12.5541,0.916,3.8446,0.0717,-0.0542,0.3435,1630000000,0.0,-0.2813,0.082,-0.0282,1.9537,0.3074,0.3276,-0.0092,0.3829,45374459960,14640000000,-0.0813,0.0517,1384500000,-0.0586,0.0852,2.2126,0.0928,0.1147,2.2197,0.1243,-0.0795,1.9968,0.0838,0.0751,2.9642,15.932,-304.5265,9.8128,0.716,3.0051,0.0518,0.0081,23.8175,0.0648,0.071,0.1564,0.181,0.1799,0.0908,0.12665024611553,0.0955,0.102,0.1569,-0.0358,-26262000.0,-0.031,18.0978,15099000000,0.0339,0.193,0.0124,-0.0208,FY2008.FQ4,4
24,0.14,2008-06-02,2008-04,53.13,788600000,2.9832,2.4691,14357000000,17.7334,0.1959,-0.3601,0.0741,0.6017,1.5292,0.3523,0.3,1.0512,0.7533,0.0342,0.0,1593000000,0.0006,0.1076,1.9676,54508318000,3.7966,19.4742,151.4119,12.0673,0.8499,3.7966,0.042,-0.0133,0.3352,-208000000,0.0,0.7099,-0.014,-0.0272,-0.2569,0.3313,0.33,0.0467,0.3709,41898318000,14473000000,-0.0752,0.0406,868500000,-0.035,0.0852,1.4303,0.0782,0.1891,3.5567,0.108,-0.1005,1.182,0.0646,0.0751,2.9183,14.969,116.3842,9.2756,0.6533,2.9183,0.0194,0.0541,18.2831,0.064,0.071,0.1527,0.1887,0.182,0.0905,0.12665024611553,0.0952,0.102,0.1531,-0.0616,-30138000.0,-0.0368,17.7334,14357000000,0.0218,0.1187,0.0057,-0.0861,FY2009.FQ1,1
25,0.14,2008-08-29,2008-07,45.23,755000000,3.3543,2.5161,13457000000,17.3885,0.1515,1.7513,-0.0909,0.3684,1.6392,0.4354,0.3061,1.4605,0.7701,0.0342,0.0,1669000000,-0.0011,0.1078,2.1566,50553650000,3.7566,18.4032,62.4119,11.4712,0.7779,3.7566,-0.0253,0.025,0.2981,23000000,-0.358,1.0538,0.0014,-0.0272,0.0297,0.334,0.3313,0.0495,0.3678,34148650000,18128000000,-0.0758,0.0409,915000000,-0.037,0.082,1.5764,0.0788,0.1707,-4.9047,0.0922,-0.0988,1.296,0.0648,0.0716,2.5376,12.4312,42.1588,7.7487,0.5255,2.5376,-0.009,0.0582,19.9922,0.0624,0.071,0.1496,0.1975,0.1831,0.0878,0.12665024611553,0.0909,0.102,0.1496,-0.0973,-33600000.0,-0.0426,17.3885,13457000000,0.0257,0.1437,-0.0053,-0.1565,FY2009.FQ2,2
26,0.16,2008-12-05,2008-10,40.12,752780000,3.4639,2.6186,13580000000,17.9487,0.1532,0.4641,-0.2598,-0.9321,1.4996,0.4313,0.3192,1.4943,0.8232,0.0481,0.1428,1335000000,-0.0374,0.0883,1.7644,46727533600,3.4409,17.7468,76.7282,10.9714,0.716,3.4409,-0.0248,-0.125,0.2886,-836000000,0.0,-0.3165,-0.0553,-0.0282,-1.1049,0.3297,0.3313,0.0293,0.417,30201533600,19375000000,-0.236,0.0244,650250000,-0.0949,0.0819,1.1459,0.0573,0.3265,-4.6217,0.0812,-0.1895,0.8366,0.0418,0.0696,2.2239,11.4703,49.592,7.0912,0.4627,2.2239,0.0162,0.0188,19.9762,0.0571,0.071,0.1416,0.1947,0.1836,0.0786,0.12665024611553,0.0815,0.1011,0.1416,-0.1109,-2220000.0,-0.0029,17.9487,13580000000,0.0307,0.0866,-0.0056,-0.1596,FY2009.FQ3,3
27,0.16,2009-03-13,2009-01,31.2,752673000,3.2165,2.7949,13712000000,18.1832,0.2222,-0.7706,0.1523,0.0437,1.6636,0.4251,0.3394,1.3675,0.963,0.0481,0.0,1631000000,-0.2846,0.0833,2.1628,40109397600,2.9251,18.1162,43.5026,11.3431,0.6175,2.9251,0.0134,-0.3442,0.3108,1943000000,0.0,0.192,0.0993,-0.0216,2.5765,0.2109,0.3305,-0.3246,0.3541,23483397600,18190000000,-0.4075,0.0311,867750000,-0.3732,0.0785,1.5342,0.0591,0.2,7.8903,0.0689,-0.4339,1.2504,0.0482,0.0647,1.7126,10.6067,25.47,6.6412,0.3615,1.7126,0.0389,-0.0156,25.9382,0.0485,0.0679,0.1235,0.1622,0.1836,0.0667,0.12665024611553,0.0682,0.0956,0.1235,-0.0961,-107000.0,-0.0001,18.1832,13712000000,0.0221,-0.0101,-0.0046,-0.1042,FY2009.FQ4,4
28,0.16,2009-06-05,2009-04,41.26,752280000,3.1313,2.9471,14119000000,18.7503,0.4367,1.2112,0.0628,0.35,1.7124,0.4245,0.3679,1.3293,1.0838,0.0291,0.0,1498000000,-0.0596,0.1009,1.9893,47182072800,3.3417,22.1096,29.5812,13.8648,0.7261,3.3417,0.0157,-0.0675,0.3193,465000000,0.0,3.2355,0.0313,-0.0062,0.6175,0.3042,0.328,-0.0797,0.3665,31039072800,17398000000,-0.1328,0.0351,769500000,-0.1139,0.0785,1.3625,0.0691,0.2318,9.2173,0.0459,-0.1389,1.0942,0.0555,0.0647,2.1983,14.545,19.4602,9.121,0.4776,2.1983,0.0089,0.002,19.6985,0.0483,0.0644,0.1218,0.1533,0.1836,0.0653,0.12665024611553,0.0672,0.0906,0.1218,-0.0699,-393000.0,-0.0005,18.7503,14119000000,0.0156,0.0322,-0.0046,-0.0165,FY2010.FQ1,1
29,0.16,2009-08-28,2009-07,43.62,751900000,3.0292,3.0062,14602000000,19.3557,0.5116,-0.3732,-0.1038,0.0374,1.8025,0.4072,0.3953,1.2336,1.175,0.0291,0.0,1629000000,-0.0239,0.1081,2.1593,49281878000,3.375,23.5348,23.0289,14.6803,0.7631,3.375,-0.0478,-0.0365,0.3301,568000000,-0.1292,23.6956,0.0376,-0.0062,0.7529,0.3162,0.328,-0.0779,0.3793,32797878000,17057000000,-0.063,0.0394,863250000,-0.0565,0.0773,1.5257,0.0763,0.2025,-3.273,0.0222,-0.0458,1.2685,0.0635,0.064,2.2461,15.6627,15.3261,9.7699,0.5079,2.2461,-0.0265,-0.0261,19.9721,0.0473,0.0632,0.1196,0.1458,0.1835,0.0639,0.12665024611553,0.0662,0.0891,0.1196,-0.0251,-380000.0,-0.0005,19.3557,14602000000,0.017,-0.02,-0.0067,0.085,FY2010.FQ2,2
30,0.17,2009-12-04,2009-10,48.43,752200000,3.0712,3.0502,14971000000,19.8107,0.5394,-0.0588,0.0776,36.5384,1.5795,0.3813,0.3953,1.1712,1.2024,0.0354,0.0625,1411000000,0.0569,0.0923,1.8671,51460046000,3.4373,23.813,14.4753,15.1042,0.7949,3.4373,-0.0253,0.1836,0.3256,579000000,0.0,1.6925,0.0379,0.0164,0.7661,0.3054,0.3213,-0.0638,0.3616,36429046000,16671000000,0.1815,0.0285,655500000,0.008,0.0727,1.1565,0.0572,0.2931,-6.6428,0.0025,0.0789,0.9037,0.0447,0.0595,2.4333,16.8574,10.2472,10.6924,0.5627,2.4333,0.0084,0.0107,20.2143,0.0479,0.0597,0.1198,0.1461,0.182,0.0663,0.12665024611553,0.0682,0.0832,0.1198,-0.0011,300000.0,0.0003,19.8107,14971000000,0.0184,-0.0225,-0.0048,0.1024,FY2010.FQ3,3
31,0.17,2010-03-12,2010-01,51.27,744600000,2.9017,3.0502,15347000000,20.2922,0.6025,0.0373,0.1443,0.0769,1.6265,0.3775,0.3953,1.0955,1.2024,0.0354,0.0,2158000000,0.3231,0.1069,2.8533,51093642000,3.3292,20.536,12.2087,13.1922,0.7817,3.3292,0.0448,0.55,0.3446,2573000000,0.0,0.3242,0.1274,0.0345,3.402,0.2889,0.3118,0.4132,0.3356,38175642000,16231000000,0.5369,0.0463,1216500000,0.4019,0.0727,2.1446,0.0803,0.137,3.4249,-0.0184,0.4941,1.863,0.0698,0.0595,2.4874,15.3439,9.122,9.8568,0.5841,2.4874,0.0327,0.0317,26.6838,0.0549,0.056,0.1332,0.1641,0.1725,0.0769,0.12665024611553,0.0787,0.0777,0.1332,0.0029,-7600000.0,-0.0101,20.2922,15347000000,0.0121,0.0096,-0.0038,0.1192,FY2010.FQ4,4
