,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
10,1.1,2012-03-15,2012-01,50.81,669300000,2.9473,2.8619,15821000000,23.1334,-1.1024,0.3619,0.1055,0.0309,1.1513,0.3534,0.3566,1.0418,1.0286,0.1746,0.3095,7453000000,0.0159,0.1066,10.8977,46660133000,2.9492,15.9303,42.3029,10.4713,0.6678,2.995,0.1346,0.07,0.3392,1103000000,0.0,-0.6564,0.0157,0.0162,1.6128,0.3085,0.3199,0.0362,0.3426,34007133000,15689000000,0.003,0.0419,3991500000,0.0133,0.0765,7.7818,0.0761,0.257,0.8622,0.1434,-0.0086,6.5155,0.0637,0.0642,2.1494,11.6104,30.8314,7.6317,0.4867,2.1828,0.0578,0.0367,102.1567,0.0648,0.0655,0.1539,0.1871,0.1854,0.0922,0.14904535560943,0.0942,0.0921,0.1545,-0.0623,-34700000,-0.0492,22.7796,15579000000,0.0679,0.0669,0.0724,0.0215,FY2012,2012
11,1.32,2013-03-20,2013-01,60.41,645294000,2.9087,2.8619,16558000000,24.963,0.4735,-0.0125,0.0511,-0.02,1.1679,0.3664,0.3566,1.0658,1.0286,0.1858,0.2,7623000000,0.0228,0.1039,11.4925,52852210540,3.1919,17.6232,17.357,10.4533,0.721,3.2357,0.0976,0.056,0.3437,3045000000,0.2975,1.7606,0.0415,0.0182,4.5906,0.3037,0.3151,0.0327,0.3443,38982210540,16864000000,0.0238,0.0409,4184250000,0.0482,0.0765,8.4109,0.0761,0.292,1.3308,0.0515,0.1346,7.6224,0.0689,0.0657,2.3542,12.9984,12.802,7.71,0.5318,2.3865,0.0695,0.0491,110.5095,0.0632,0.0655,0.1538,0.1852,0.1847,0.0901,0.14904535560943,0.0923,0.0921,0.1548,-0.0301,-24006000,-0.0358,24.6253,16334000000,0.0534,0.0328,0.0577,0.0465,FY2013,2013
12,1.58,2014-03-14,2014-01,56.64,632931000,2.7449,2.8618,16231000000,25.2898,0.2035,-0.1454,0.064,0.2244,0.9057,0.2821,0.3566,0.7745,1.0286,0.1977,0.1969,6775000000,-0.1112,0.095,10.5562,46608211840,2.8715,23.6469,9.9082,11.3099,0.6538,2.9313,0.0572,-0.3207,0.3643,4704000000,0.1888,0.5448,0.0659,0.019,7.3293,0.2979,0.3086,-0.046,0.3462,35849211840,11902000000,-0.3427,0.0276,3584250000,-0.1433,0.0765,7.4462,0.067,0.5146,3.179,-0.1383,-0.1849,6.421,0.0578,0.0657,2.2086,18.1883,7.621,8.6991,0.5029,2.2546,0.0542,-0.0275,111.061,0.0425,0.0655,0.1364,0.1202,0.1847,0.0625,0.14904535560943,0.064,0.0921,0.1375,-0.0324,-12363000,-0.0191,24.774,15900000000,0.0355,-0.0749,0.0384,-0.0197,FY2014,2014
13,1.9,2015-03-13,2015-01,73.61,640214000,2.9414,2.9052,13997000000,21.8668,0.0688,2.2985,0.034,-0.3151,1.1608,0.309,0.3566,0.9091,1.0286,0.2027,0.2025,6664000000,-0.0163,0.0917,10.4108,57550152540,4.1116,-35.1773,20.7462,15.7542,0.7925,4.201,0.0,-1.8403,0.3399,2774000000,0.3123,-0.4102,0.0381,0.0297,4.3336,0.2938,0.3061,0.0047,0.3295,47126152540,10515000000,-1.83,-0.0225,3401250000,-0.051,0.0761,7.0848,0.0624,-0.7364,0.0,-0.0174,-0.1135,5.7069,0.0503,0.0652,3.3668,-28.8057,16.9885,12.9006,0.6489,3.4401,0.0448,0.0187,113.4478,-0.0381,0.064,0.1452,-0.1082,0.1805,-0.0589,0.14904535560943,-0.0621,0.0911,0.1467,-0.0026,7283000,0.0115,21.4013,13699000000,0.0245,-0.0758,0.0071,-0.1376,FY2015,2015
14,2.16,2016-03-11,2016-01,72.42,602227000,3.1073,2.9099,12957000000,20.4724,0.1661,0.8307,0.0295,0.3343,1.1194,0.3169,0.3566,0.9847,1.0286,0.1962,0.1368,7123000000,0.0688,0.0965,11.2545,51512279340,3.9756,15.3173,11.3263,10.4635,0.6981,4.0624,0.0695,3.0581,0.3218,4548000000,0.1503,0.6395,0.0616,0.0398,7.1859,0.2919,0.3031,0.0095,0.3254,43613279340,8714000000,3.0556,0.0455,3682500000,0.0826,0.0738,7.7579,0.0665,0.4067,1.8638,-0.0283,0.3476,7.7784,0.0667,0.0652,3.366,12.9685,9.5895,8.859,0.591,3.4395,0.0343,0.016,116.5823,0.0825,0.064,0.1693,0.2495,0.1847,0.1282,0.14904535560943,0.1456,0.0911,0.171,-0.0112,-37987000,-0.0593,20.0347,12680000000,0.0141,-0.0221,-0.0091,-0.0743,FY2016,2016
15,2.32,2017-03-08,2017-01,64.48,556156000,3.4174,2.9262,10953000000,18.8034,-0.0645,-0.3791,0.0113,-0.0862,0.9435,0.3406,0.3566,1.1639,1.0538,0.1808,0.074,7182000000,0.0082,0.1022,12.3296,44379938880,4.0518,16.2326,11.2553,11.2042,0.6315,4.1499,0.0386,-0.1167,0.2926,3943000000,0.1475,-0.133,0.0561,0.0445,6.769,0.3006,0.3015,-0.0194,0.3269,35860938880,10237000000,-0.187,0.0389,3648000000,-0.0093,0.0703,8.3502,0.0692,0.4946,3.3942,-0.0221,-0.1954,6.8,0.0563,0.0615,3.274,13.1166,9.0948,9.0535,0.5103,3.3533,0.0167,-0.0476,120.6369,0.0703,0.064,0.1772,0.2286,0.1847,0.1106,0.14904535560943,0.1275,0.0911,0.1789,-0.0796,-46071000,-0.0765,18.3587,10694000000,0.0002,-0.0703,-0.0349,-0.1546,FY2017,2017
16,2.44,2018-03-14,2018-01,75.22,541682000,3.4591,2.9444,11651000000,21.172,-0.6668,0.0521,0.0533,0.2738,0.9607,0.3305,0.347,1.1434,1.0538,0.1671,0.0517,6700000000,-0.0671,0.0921,12.1751,49219320040,4.2244,16.8906,11.1029,13.559,0.6768,4.4982,0.0473,0.1279,0.289,4433000000,0.0,0.1242,0.0609,0.0518,8.0556,0.2969,0.2993,0.0219,0.1988,40745320040,8755000000,0.0658,0.04,3168000000,-0.1315,0.0684,7.6758,0.058,0.4612,2.9516,0.0714,-0.0835,6.5964,0.0499,0.0585,3.4971,13.9826,9.1913,11.2246,0.5603,3.7237,0.0138,0.0347,132.1351,0.0749,0.064,0.1565,0.2578,0.1861,0.1197,0.14904535560943,0.1339,0.0911,0.1593,-0.0552,-14474000,-0.026,19.8836,10942000000,-0.0099,0.0767,-0.0269,0.0637,FY2018,2018
17,2.52,2019-03-13,2019-01,73.0,517762000,3.6549,2.9444,11297000000,21.1871,-0.3713,-0.4112,0.0303,-0.1387,0.8338,0.3216,0.3355,1.1754,1.0538,0.1543,0.0327,6584000000,-0.0173,0.0873,12.348,46463626000,4.1129,15.82,18.2783,12.6397,0.6165,4.3841,0.0677,0.0415,0.2736,2542000000,0.1067,-0.4265,0.0337,0.0518,4.7674,0.2927,0.2993,0.0216,0.2029,37796626000,9719000000,0.0078,0.0389,3082500000,-0.0269,0.0681,7.7081,0.0545,0.4573,1.8988,0.0408,0.0126,6.8942,0.0487,0.0585,3.3457,12.8691,14.8688,10.2819,0.5015,3.5663,0.0149,0.0363,141.3278,0.0719,0.0655,0.1498,0.2559,0.1882,0.1185,0.14904535560943,0.1295,0.0921,0.1537,-0.031,-23920000,-0.0441,19.8762,10598000000,-0.0065,0.0244,-0.0191,-0.0303,FY2019,2019
18,2.6,2020-03-11,2020-01,110.74,504199000,3.6152,3.0273,11833000000,22.9499,0.1361,0.6561,0.0192,0.1915,0.8905,0.3219,0.3262,1.164,1.0538,0.1469,0.0317,7262000000,0.1029,0.0929,14.0845,64595997260,5.4589,19.6878,15.554,15.4167,0.8269,5.7949,0.0678,0.1542,0.2766,4153000000,-0.0007,0.6337,0.0531,0.0504,8.0546,0.2976,0.2978,0.0539,0.2198,55834997260,8922000000,0.1171,0.042,3493500000,0.1333,0.0667,9.0341,0.0596,0.4088,2.5095,0.0371,0.1398,8.1264,0.0536,0.057,4.7185,17.0176,13.4444,13.3257,0.7148,5.0089,0.0179,0.0365,151.4972,0.078,0.0682,0.167,0.2837,0.209,0.1307,0.14904535560943,0.1424,0.1014,0.1712,-0.033,-13563000,-0.0261,21.6194,11147000000,-0.004,0.036,-0.0256,0.0474,FY2020,2020
19,2.68,2021-03-10,2021-01,181.17,500877000,3.549,3.2623,14440000000,28.5714,0.1204,2.3026,0.0716,0.4788,1.0313,0.2907,0.3217,1.0317,1.0538,0.123,0.0307,9024000000,0.2426,0.0964,17.8551,93768886090,6.4936,21.4672,11.8424,16.9074,1.0022,6.8086,0.08,0.3584,0.2817,7918000000,0.0944,0.9065,0.0846,0.0546,15.6667,0.2926,0.2972,0.1779,0.2124,90743886090,4169000000,0.3313,0.0466,4904250000,0.4038,0.0667,12.9382,0.0698,0.3101,2.595,0.0205,0.3236,10.9734,0.0592,0.057,6.2842,20.7746,11.4604,16.362,0.9698,6.589,0.0333,0.1977,185.1226,0.0929,0.0711,0.2153,0.3325,0.2391,0.1589,0.14904535560943,0.1991,0.1145,0.2202,-0.0197,-3322000,-0.0065,27.2497,13772000000,0.016,0.1979,-0.0069,0.2203,FY2021,2021
20,3.16,2022-03-09,2022-01,220.43,471274000,4.1951,3.4383,12827000000,26.034,-0.349,-0.3054,0.0472,-0.1805,0.9919,0.3012,0.3192,1.2639,1.1046,0.1112,0.1791,11588000000,0.2841,0.1093,23.5193,111520927820,8.6942,16.0554,21.8326,12.5205,1.052,9.1628,0.1266,0.6319,0.2383,5108000000,0.1656,-0.3548,0.0481,0.0546,10.3673,0.2928,0.2953,0.1335,0.2201,103882927820,7809000000,0.5902,0.0655,6709500000,0.368,0.0667,18.157,0.0843,0.2241,1.1811,0.056,0.606,18.0779,0.084,0.057,8.0987,14.9557,20.3372,11.663,0.9799,8.5352,0.0425,0.133,215.1512,0.1322,0.0734,0.2773,0.5094,0.2527,0.2379,0.14904535560943,0.316,0.1191,0.2831,-0.0251,-29603000,-0.0591,24.7026,12171000000,0.0144,0.05,-0.0207,-0.1117,FY2022,2022
21,3.96,2023-03-08,2023-01,172.14,460347000,4.7484,3.5041,11232000000,24.1704,-0.5695,-0.6229,-0.0277,-0.5341,0.9151,0.352,0.3192,1.6717,1.1536,0.1161,0.2531,6548000000,-0.4349,0.06,14.0908,93024132580,8.282,33.4619,-61.9335,27.2159,0.8524,8.7866,0.0283,-0.5758,0.2105,-1502000000,0.0,-1.294,-0.0137,0.0546,-3.2321,0.2457,0.2933,-0.1362,0.1866,79244132580,13910000000,-0.5997,0.0254,2886000000,-0.5698,0.0644,8.2806,0.0352,0.6622,10.0418,0.1116,-0.6162,7.3552,0.0313,0.055,7.0552,28.505,-52.759,23.1843,0.7262,7.485,0.0405,0.0293,234.8181,0.0518,0.0734,0.1162,0.231,0.2527,0.0941,0.14904535560943,0.1092,0.1191,0.1185,-0.0568,-10927000,-0.0231,22.7824,10587000000,0.0102,-0.0088,-0.038,-0.1243,FY2023,2023
22,4.36,2024-03-13,2024-01,139.08,461675000,4.1212,3.5821,13432000000,29.0233,0.1336,0.707,0.0283,1.1455,0.9064,0.3489,0.3217,1.4381,1.164,0.1068,0.101,8508000000,0.2993,0.0792,18.3837,75326759000,5.608,18.2036,19.6214,14.2206,0.7012,5.8844,0.1128,0.4949,0.2426,3839000000,-0.0201,3.5559,0.0357,0.0506,8.2951,0.2754,0.2927,0.1033,0.2188,64209759000,12233000000,0.4884,0.0385,4280250000,0.4831,0.061,12.3314,0.0531,0.4876,1.3755,0.0669,0.5497,11.4455,0.0493,0.0519,4.7803,15.517,16.7256,12.1219,0.5977,5.0159,0.0418,-0.0156,232.0916,0.0761,0.0755,0.1604,0.3355,0.2569,0.1318,0.14904535560943,0.1458,0.1239,0.1633,-0.004,1328000,0.0028,27.6598,12801000000,0.0219,0.0378,-0.0187,0.1958,FY2024,2024
23,4.44,2025-03-12,2025-01,137.91,455567000,3.9389,3.635,14666000000,31.7583,0.396,0.2515,0.0513,-0.1454,0.9353,0.3379,0.3262,1.3311,1.1697,0.0885,0.0183,8547000000,0.0045,0.0802,18.508,72369244970,4.9344,17.6898,16.1574,13.7557,0.6791,5.1563,0.0,-0.0089,0.2538,4479000000,0.049,0.1667,0.042,0.0506,9.699,0.2821,0.2926,0.0162,0.2223,62827244970,11178000000,-0.0113,0.0383,4174500000,-0.0247,0.0588,12.0528,0.0522,0.5011,0.0,0.0089,-0.0067,11.3923,0.0493,0.0517,4.2838,15.3574,14.027,11.942,0.5895,4.4764,0.0391,-0.0078,230.7622,0.0723,0.0755,0.1469,0.2911,0.2707,0.1222,0.14904535560943,0.1401,0.1252,0.1493,-0.0021,-6108000,-0.0132,30.3919,14035000000,0.0344,0.0435,0.0046,0.0918,FY2025,2025
