,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
10,1.0,2012-02-29,2011-12,33.25,3772691000,12.3427,12.3153,175773000000,44.8366,1.9423,0.0,1.7993,1.7445,0.144,0.2122,-0.0302,4.0,1587502000000,0.1119,0.076,8.6477,8.66,31854000000,0.068,0.3276,8.1253,237335975750,1.3502,12.5071,2.474,2.4408,2.0258,0.188,0.1313,0.081,0.0812,95932000000,0.0,26.5682,0.9866,24.4705,0.2905,0.0381,0.0224,0.1268,0.0444,0.0536,0.6417,0.7271,125441975750,185433000000,0.0924,0.1951,0.16,-0.0649,0.0311,0.0262,0.2232,0.3516,0.076,6.8232,0.275,0.2301,0.7136,6.6105,1.3076,1.2901,1.0707,0.1284,-0.0531,24.8026,0.0086,0.0077,0.0173,0.1055,0.0907,0.0368,0.066031922371313,0.0453,0.0325,-0.0142,-137603000,-0.0351,29.8841,117155000000,0.1256,0.0699,0.1598,0.0424,FY2011,2011
11,1.2,2013-02-28,2012-12,43.97,3803952000,11.5605,12.1562,195011000000,51.0206,0.2115,0.0,1.6221,1.7445,0.1462,0.0583,-0.0124,0.2,1621730000000,0.1006,0.0215,7.9469,8.5126,34064000000,0.0693,0.351,8.9121,267382769440,1.3711,12.5626,10.6616,2.7556,1.9518,0.2058,0.1607,0.0865,0.0822,25079000000,0.0,-0.7385,0.2584,6.5614,0.2639,0.0298,0.0251,0.1289,0.0139,0.0226,0.6147,0.7196,167259769440,155490000000,0.1216,0.2193,0.1394,-0.0582,0.0279,0.0273,0.2307,0.3817,0.081,7.5655,0.298,0.2585,0.8576,7.8584,6.6693,1.7237,1.2209,0.126,-0.002,25.3861,0.0092,0.0085,0.0171,0.1098,0.1036,0.0405,0.066031922371313,0.0584,0.035,-0.025,31261000,0.0082,35.8398,136987000000,0.1201,0.0411,0.1704,0.1116,FY2012,2012
12,1.44,2014-02-20,2013-12,58.48,3756108000,11.4391,11.8483,200020000000,52.4312,1.027,0.2214,1.675,1.7371,0.147,0.0788,0.0057,0.2,1706408000000,0.1077,0.0522,8.0804,8.2289,31981000000,-0.0611,0.3284,8.3831,159718195840,0.7985,8.9297,1.4795,1.6403,1.1351,0.0296,-0.1653,0.0874,0.0844,107953000000,0.2214,3.3045,1.1087,28.2977,0.3294,0.022,0.0259,0.1283,0.0062,0.0144,0.5734,0.7196,219657195840,-2091000000,-0.1596,0.1836,0.1338,-0.0354,0.026,0.0273,0.3317,4.1403,-0.0775,6.9923,0.2739,0.258,1.0981,12.2809,2.0347,2.2559,1.561,0.1134,0.0034,25.5228,0.0074,0.0079,0.0148,0.0861,0.0939,0.0325,0.066031922371313,0.0629,0.0328,-0.0019,-47844000,-0.0125,36.8835,140707000000,0.1209,0.0239,0.137,0.0348,FY2013,2013
13,1.58,2015-02-24,2014-12,62.58,3714789000,11.1004,11.8483,211664000000,55.7377,0.4397,0.0,1.6094,1.7371,0.1008,0.0587,0.0151,0.0972,1891602000000,0.0774,0.1085,8.163,8.2703,35458000000,0.1087,0.3728,9.3371,26764495620,0.1264,1.2308,0.7314,0.2813,0.1722,0.1306,0.2188,0.09,0.0844,36593000000,0.0,-0.661,0.3847,9.636,0.2916,0.0187,0.0259,0.0653,0.0256,0.029,0.5554,0.6881,232471495620,-139363000000,0.2157,0.2286,0.1019,0.0072,0.0242,0.0273,0.2986,0.8185,0.1508,8.084,0.3227,0.2745,1.0983,10.6908,6.3528,2.4441,1.496,0.0842,-0.0231,25.0459,0.0087,0.0085,0.016,0.0981,0.0999,0.0371,0.066031922371313,0.1442,0.035,-0.0045,-41319000,-0.011,40.9187,155389000000,0.0831,0.0648,0.0419,0.0973,FY2014,2014
14,1.72,2016-02-23,2015-12,66.03,3663475000,9.499,11.8483,221505000000,58.6985,-0.2963,0.0,1.314,1.7371,0.0871,-0.0613,0.0237,0.0886,1717186000000,0.0898,-0.0922,6.936,8.2703,35642000000,0.0051,0.381,9.445,191150254250,0.8629,7.8205,2.6018,2.0434,1.1476,0.0968,0.1342,0.1052,0.0844,73466000000,0.0,1.0076,0.7853,19.4684,0.2038,0.0161,0.0259,0.0716,0.1055,0.1084,0.6542,0.6646,241899254250,-35187000000,0.124,0.2612,0.0832,-0.0028,0.0241,0.0273,0.2866,1.0216,0.0001,8.1359,0.3282,0.2865,1.092,9.8968,3.2926,2.5859,1.4523,0.0559,-0.0164,24.7887,0.0099,0.0086,0.016,0.1019,0.1018,0.0415,0.066031922371313,0.1604,0.037,-0.0062,-51314000,-0.0138,44.1374,166557000000,0.0696,-0.0857,0.0872,0.0683,FY2015,2015
15,1.88,2017-02-28,2016-12,86.29,3561190000,9.7996,11.7925,228122000000,61.8216,0.0808,0.0,1.297,1.7371,0.0796,0.0745,0.0329,0.093,1829742000000,0.072,0.0655,7.1983,8.2703,40014000000,0.1226,0.4143,10.8439,212905085100,0.9332,8.6081,9.7288,2.2046,1.2244,0.0435,0.0316,0.102,0.0848,21884000000,0.0,-0.7021,0.2266,5.9306,0.2838,0.0153,0.0259,0.0635,0.0686,0.0694,0.6506,0.6524,307295085100,-59947000000,0.0119,0.2561,0.0805,0.0591,0.0259,0.0273,0.3037,2.8501,0.1248,9.3593,0.3576,0.2865,1.347,12.4244,14.0419,3.1821,1.7673,0.0453,0.0323,26.1704,0.0102,0.0086,0.0181,0.0985,0.1001,0.0427,0.066031922371313,0.1216,0.037,-0.0221,-102285000,-0.0279,47.1208,173876000000,0.063,0.0592,0.0818,0.0267,FY2016,2016
16,2.12,2018-02-27,2017-12,106.94,3425299000,9.9087,11.4998,229625000000,64.1984,0.1069,0.0,1.3136,1.6485,0.069,0.05,0.0365,0.1276,1883916000000,0.0583,0.0296,7.3678,8.1217,42079000000,0.0516,0.4178,11.7644,219077475060,0.954,8.9635,-20.2343,2.1754,1.2502,0.0383,0.0193,0.1009,0.0869,-10827000000,0.0,-1.4947,-0.1075,-3.027,0.3191,0.0146,0.0259,0.06,0.0401,0.0409,0.6445,0.6475,366301475060,-95422000000,-0.0118,0.2426,0.0661,0.0871,0.0269,0.0274,0.3359,3.9054,0.0394,10.0369,0.3564,0.2865,1.5952,14.9871,-33.8322,3.6373,2.0903,0.035,0.0428,28.155,0.0097,0.0086,0.0179,0.0958,0.0983,0.0415,0.066031922371313,0.1378,0.037,-0.0306,-135891000,-0.0381,48.9915,175233000000,0.0495,0.0171,0.0757,0.0059,FY2017,2017
17,2.72,2019-02-26,2018-12,97.62,3275766000,10.2236,11.2697,230447000000,67.5005,-0.3536,-0.0417,1.3695,1.6157,0.0383,0.0184,0.0599,0.283,1849816000000,0.0177,-0.0181,7.2113,8.0136,48555000000,0.1539,0.4463,14.2223,323018276920,1.4017,9.9469,20.6877,2.9693,1.8343,0.2089,0.4263,0.0978,0.0887,15614000000,-0.0417,2.4421,0.1435,4.5735,0.2033,0.0136,0.0203,0.0282,0.0578,0.0588,0.6694,0.6475,319780276920,72514000000,0.3286,0.2985,0.0356,0.099,0.0294,0.0274,0.3022,0.4713,0.1354,11.9402,0.3747,0.3103,1.3876,9.8472,20.4803,2.9396,1.8159,0.0492,0.0802,31.8637,0.0125,0.0089,0.0198,0.1268,0.1001,0.0541,0.066031922371313,0.1327,0.0388,-0.0455,-149533000,-0.0436,51.5811,176098000000,0.0188,0.0351,0.0439,0.0032,FY2018,2018
18,3.4,2020-02-25,2019-12,139.4,3084021000,10.2834,10.6919,234337000000,72.5411,-0.0543,-0.2883,1.272,1.4894,0.0523,0.0623,0.3275,0.25,1907330000000,0.0273,0.031,7.2985,7.6574,53234000000,0.0963,0.46,16.479,457779527400,1.9535,12.5656,111.8718,3.9559,2.5292,0.1684,0.1911,0.0972,0.0936,4092000000,-0.2883,-0.7379,0.0353,1.2667,0.188,0.0131,0.0174,0.0464,0.0132,0.0137,0.6385,0.6431,429912527400,68787000000,0.1218,0.3148,0.0113,0.0397,0.0304,0.0274,0.3171,0.7005,0.1006,13.8886,0.3877,0.3254,1.8345,11.8007,105.0617,3.7151,2.3752,0.0142,0.0637,35.8221,0.0137,0.0094,0.0211,0.1407,0.1018,0.0606,0.066031922371313,0.1105,0.041,-0.0537,-191745000,-0.0585,56.0289,180996000000,0.0283,0.0247,0.0468,0.0187,FY2019,2019
19,3.6,2021-02-23,2020-12,127.07,3049434000,12.1163,10.6919,249291000000,80.7446,1.0013,0.0,1.1701,1.3417,0.087,0.3723,0.3351,0.0588,2470715000000,0.0529,0.2953,8.8443,7.6574,44429000000,-0.1654,0.3706,14.3904,141567578380,0.5678,4.8596,-1.7715,1.1808,0.7227,0.0841,-0.1716,0.0825,0.0936,-79910000000,0.0,-20.5283,-0.6665,-25.8826,0.1866,0.0279,0.0174,0.0386,0.0152,0.0,0.4723,0.6401,387491578380,-200716000000,-0.2003,0.2429,0.0067,-0.0468,0.0249,0.0265,0.4054,1.5815,-0.2017,11.6003,0.2987,0.3254,1.5543,13.3016,-4.849,3.2322,1.9783,0.0155,0.0359,38.8297,0.0095,0.0096,0.0145,0.1077,0.1037,0.0485,0.066031922371313,0.1425,0.0415,-0.0442,-34587000,-0.0112,63.4394,195863000000,0.048,0.2595,0.0472,0.0689,FY2020,2020
20,3.8,2022-02-22,2021-12,158.35,2944149000,12.7277,10.6919,259289000000,85.67,0.4041,-0.0203,1.2055,1.3138,0.0812,0.1483,0.1428,0.0555,2803377000000,0.0585,0.1346,9.5311,7.6574,67494000000,0.5191,0.5546,22.3002,26376994150,0.1017,0.5457,0.3378,0.2167,0.1301,0.1311,0.7297,0.0785,0.0936,78084000000,-0.0203,1.9771,0.6416,25.7992,0.1885,0.0152,0.0157,0.0406,0.064,0.078,0.4376,0.6266,466205994150,-386235000000,0.6591,0.3972,0.0092,-0.0412,0.0198,0.026,0.2473,0.7355,0.663,19.6795,0.4894,0.3423,1.798,9.6455,5.9705,3.8312,2.3011,0.0226,0.015,40.2051,0.0135,0.0098,0.0203,0.1685,0.1048,0.077,0.066031922371313,-7.1765,0.0421,-0.0196,-105285000,-0.0345,66.9391,202598000000,0.0514,0.106,0.0482,0.0528,FY2021,2021
21,4.0,2023-02-21,2022-12,134.1,2934258000,12.5396,10.6919,264928000000,89.2013,-0.2343,0.1562,1.1626,1.3053,0.0696,-0.0495,0.1279,0.0526,2684997000000,0.0517,-0.0422,9.1847,7.7241,53217000000,-0.2115,0.4166,17.9181,122114997800,0.4609,3.2411,1.1399,0.956,0.5984,0.088,-0.2128,0.0797,0.0936,107119000000,0.1562,0.3718,0.8386,36.067,0.1839,0.0173,0.0157,0.0446,0.0537,0.0514,0.4852,0.6059,393483997800,-227342000000,-0.2205,0.2949,0.0403,0.2752,0.0243,0.0254,0.3308,1.1863,-0.2249,15.5441,0.3614,0.357,1.4852,10.4438,3.6733,3.0806,1.9281,0.0278,0.0496,43.0057,0.0101,0.01,0.0151,0.1284,0.1048,0.0588,0.066031922371313,-2.7786,0.0456,-0.0187,-9891000,-0.0033,68.7101,204069000000,0.045,-0.0207,0.0365,-0.0061,FY2022,2022
22,4.1,2024-02-16,2023-12,170.1,2876659000,11.8196,10.6919,300474000000,102.0943,0.1003,-0.1909,1.3314,1.3053,0.0642,0.0258,0.1103,0.025,2921803000000,0.0552,0.0881,8.9112,7.7654,69124000000,0.2989,0.446,23.4867,256993695900,0.8552,5.1863,19.8083,1.6585,1.0885,0.1409,0.3424,0.0846,0.0936,12974000000,-0.1909,-0.8788,0.0837,4.4082,0.1957,0.0169,0.0157,0.0601,0.1655,0.1661,0.5513,0.5969,489319695900,-187614000000,0.3152,0.3197,0.0749,0.3381,0.0318,0.0254,0.2526,0.7003,0.3345,20.9343,0.3976,0.3595,1.6284,9.8748,37.7154,3.1578,2.0725,0.0475,0.2131,52.6492,0.0131,0.0101,0.02,0.1597,0.1172,0.0709,0.066031922371313,0.4828,0.0513,-0.009,-57599000,-0.0196,80.2191,236093000000,0.0484,0.0571,0.0449,0.1215,FY2023,2023
23,4.8,2025-02-14,2024-12,239.71,2797620000,11.6105,10.9469,324708000000,112.7849,-0.248,0.0,1.3177,1.3053,0.0584,0.0022,0.1175,0.1707,2990177000000,0.0468,0.0234,8.6732,8.0205,83019000000,0.201,0.4899,28.836,591136490200,1.8205,10.1099,-14.0706,3.4887,2.2723,0.1408,0.2168,0.0861,0.0916,-42012000000,0.0,-4.2381,-0.2479,-14.5925,0.2212,0.018,0.0157,0.0593,0.0183,0.0171,0.5602,0.5993,670617490200,-15006000000,0.1799,0.345,0.0781,0.0371,0.0313,0.0264,0.243,0.8145,0.2186,26.0788,0.4431,0.368,2.0652,11.4692,-15.9625,3.9578,2.5778,0.0594,0.0934,58.8534,0.0148,0.0114,0.0235,0.1738,0.1276,0.0747,0.066031922371313,0.2488,0.0564,-0.0217,-79039000,-0.0274,90.3605,260148000000,0.0452,0.0328,0.0405,0.0514,FY2024,2024
