,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,allowance_for_loan_losses,aoci,apic,cash_and_equiv,common_stock,deposits_liability,goodwill,intangible_assets,loans_gross,loans_net,lt_debt,minority_interest_liability,other_equity,other_lt_assets,other_lt_liabilities,ppe_net,preferred_stock,retained_earnings,st_debt,total_assets,total_current_assets,total_current_liabilities,total_equity,total_investments,total_liabilities,total_liabilities_and_equity,treasury_stock,unearned_income,fiscal_year_key,fiscal_year_number
10,1.0,2012-02-29,2011-12,33.25,3772691000,-27609000000,944000000,95602000000,144881000000,4105000000,1127806000000,48188000000,10430000000,723720000000,696111000000,256775000000,0,-38000000,633240000000,624099000000,14041000000,7800000000,88315000000,73539000000,2265792000000,863782000000,1201345000000,183573000000,718901000000,2082219000000,2265792000000,-13155000000,0,FY2011,2011
11,1.2,2013-02-28,2012-12,43.97,3803952000,-21936000000,4102000000,94604000000,175537000000,4105000000,1193593000000,48175000000,9849000000,733796000000,711860000000,275660000000,0,-21000000,686804000000,630452000000,14519000000,9058000000,104223000000,55367000000,2359141000000,887934000000,1248960000000,204069000000,712397000000,2155072000000,2359141000000,-12002000000,0,FY2012,2012
12,1.44,2014-02-20,2013-12,58.48,3756108000,-16264000000,1199000000,93828000000,355822000000,4105000000,1287765000000,48081000000,11232000000,738418000000,722154000000,295883000000,0,-21000000,651341000000,563015000000,14891000000,11158000000,115756000000,57848000000,2415689000000,967990000000,1345613000000,211178000000,612168000000,2204511000000,2415689000000,-14847000000,0,FY2013,2013
13,1.58,2015-02-24,2014-12,62.58,3714789000,-14185000000,2189000000,93270000000,512308000000,4105000000,1363427000000,47647000000,8628000000,757336000000,743151000000,306601000000,0,-21000000,623449000000,604175000000,15133000000,20063000000,129977000000,66344000000,2572274000000,1134266000000,1429771000000,231727000000,621958000000,2340547000000,2572274000000,-17856000000,0,FY2014,2014
14,1.72,2016-02-23,2015-12,66.03,3663475000,-13555000000,192000000,92500000000,360505000000,4105000000,1279715000000,47325000000,7623000000,837299000000,823744000000,309756000000,0,-21000000,578757000000,499092000000,14362000000,26068000000,146420000000,15562000000,2351698000000,879887000000,1295277000000,247573000000,519382000000,2104125000000,2351698000000,-21691000000,0,FY2015,2015
15,1.88,2017-02-28,2016-12,86.29,3561190000,-13776000000,-1175000000,91627000000,389635000000,4105000000,1375179000000,47288000000,6958000000,894765000000,880989000000,295245000000,0,-21000000,606629000000,531915000000,14131000000,26068000000,162440000000,34443000000,2490972000000,934977000000,1409622000000,254190000000,545342000000,2236782000000,2490972000000,-28854000000,0,FY2016,2016
16,2.12,2018-02-27,2017-12,106.94,3425299000,-13604000000,-119000000,90579000000,431304000000,4105000000,1443982000000,47507000000,6885000000,930697000000,917093000000,284080000000,0,-21000000,594737000000,498043000000,14159000000,26068000000,177676000000,51802000000,2533600000000,953219000000,1495784000000,255693000000,521915000000,2277907000000,2533600000000,-42595000000,0,FY2017,2017
17,2.72,2019-02-26,2018-12,97.62,3275766000,-13445000000,-1507000000,89162000000,278793000000,4105000000,1470666000000,47471000000,6878000000,984554000000,971109000000,282031000000,0,-21000000,716878000000,544044000000,14934000000,26068000000,199202000000,69276000000,2622532000000,865262000000,1539942000000,256515000000,586469000000,2366017000000,2622532000000,-60494000000,0,FY2018,2018
18,3.4,2020-02-25,2019-12,139.4,3084021000,-13123000000,1569000000,88522000000,263631000000,4105000000,1562431000000,47823000000,5518000000,997620000000,984497000000,291498000000,0,-21000000,714018000000,531200000000,25813000000,26993000000,223211000000,40920000000,2687379000000,909710000000,1603351000000,261330000000,646079000000,2426049000000,2687379000000,-83049000000,0,FY2019,2019
19,3.6,2021-02-23,2020-12,127.07,3049434000,-28328000000,7986000000,88394000000,527609000000,4105000000,2144257000000,49248000000,4180000000,1012853000000,984525000000,281685000000,0,0,861833000000,634253000000,27109000000,30063000000,236990000000,45208000000,3384757000000,1457862000000,2189465000000,279354000000,930253000000,3105403000000,3384757000000,-88184000000,0,FY2020,2020
20,3.8,2022-02-22,2021-12,158.35,2944149000,-16386000000,-84000000,88415000000,740834000000,4105000000,2462303000000,50315000000,6376000000,1077714000000,1061328000000,301005000000,0,0,872815000000,632538000000,27070000000,34838000000,272268000000,53594000000,3743567000000,1725663000000,2515897000000,294127000000,984829000000,3449440000000,3743567000000,-105415000000,0,FY2021,2021
21,4.0,2023-02-21,2022-12,134.1,2934258000,-19726000000,-17341000000,89044000000,567234000000,4105000000,2340179000000,51662000000,9197000000,1135647000000,1115921000000,295865000000,0,0,911879000000,693340000000,27734000000,27404000000,296456000000,44027000000,3665743000000,1549350000000,2384206000000,292332000000,982116000000,3373411000000,3665743000000,-107336000000,0,FY2022,2022
22,4.1,2024-02-16,2023-12,170.1,2876659000,-22420000000,-10443000000,90128000000,624151000000,4105000000,2400688000000,52634000000,11747000000,1323706000000,1301286000000,391825000000,0,0,881472000000,710290000000,30157000000,27404000000,332901000000,44712000000,3875393000000,1598097000000,2445400000000,327878000000,973946000000,3547515000000,3875393000000,-116217000000,0,FY2023,2023
23,4.8,2025-02-14,2024-12,239.71,2797620000,-24345000000,-12456000000,90911000000,469317000000,4105000000,2406032000000,52565000000,11995000000,1347988000000,1323643000000,389836000000,0,0,940199000000,797713000000,32223000000,20050000000,376166000000,64475000000,4002814000000,1642189000000,2470507000000,344758000000,1172872000000,3658056000000,4002814000000,-134018000000,0,FY2024,2024
