,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
10,1.4,2012-02-28,2011-12,90.43,485468000,13.1179,18.6891,67279000000,120.8098,0.4076,0.2288,3.709,4.4381,0.0,0.1954,0.1129,0.0,420214000000,0.1243,0.0591,5.9707,7.4868,8038000000,-0.4567,0.2789,14.4334,170706871240,2.5372,38.4301,7.9788,5.925,2.7617,0.0057,-0.6578,0.0762,0.0535,21395000000,0.3048,4.2854,0.7425,38.418,0.2799,0.0,0,0.0,0.0,0.0,0.0,0,43900871240,205029000000,-0.4682,0.1541,0.1491,-0.0565,0.0127,0.0134,0.3104,17.2809,-0.5214,11.0773,0.2141,0.3232,0.6525,9.8831,2.0519,1.5237,0.7102,0.0618,-0.2642,51.7346,0.0048,0.0092,0.0163,0.0601,0.1714,0.0132,0.030742719553195,0.0154,0.0295,-0.0485,-22063000.0,-0.0434,110.9912,61811000000,0.1145,0.013,0.1446,-0.0901,FY2011,2011
11,1.77,2013-03-01,2012-12,127.56,465148000,12.3957,16.2042,69516000000,134.6948,0.2974,0.0,3.2354,4.3665,0.0,0.5208,0.1393,0.2642,479680000000,0.132,0.1415,6.3352,7.0026,12945000000,0.6104,0.3789,25.0823,164295278880,2.3634,21.9793,13.729,4.8091,2.5504,0.1336,2.133,0.0806,0.0631,11967000000,0.0,-0.4406,0.3502,23.1873,0.333,0.0,0,0.0,0.0,0.0,0.0,0,59334278880,172310000000,0.6828,0.2188,0.0491,-0.2526,0.0086,0.0126,0.1252,0.5938,0.8166,21.7147,0.328,0.3279,0.8535,7.9376,4.9581,1.7367,0.921,0.0934,0.1857,66.1945,0.008,0.0092,0.0291,0.1023,0.1714,0.0229,0.030742719553195,0.0285,0.0295,-0.0732,-20320000.0,-0.0418,124.8149,64417000000,0.1019,0.0166,0.1482,0.0758,FY2012,2012
12,2.05,2014-02-28,2013-12,177.26,446359000,11.6164,13.4298,71267000000,142.6481,-0.1587,0.0,2.9432,3.8707,0.0,0.0097,0.1072,0.1581,415288000000,0.096,-0.1342,5.2925,6.1529,13059000000,0.0088,0.3817,26.1389,186954596340,2.6232,23.253,47.9493,5.4655,2.7949,0.1016,0.0941,0.086,0.0745,3899000000,0.0,-0.6741,0.1139,7.8042,0.3149,0.0092,0,0.0,0.0,0.0,0.2123,0,79121596340,169815000000,0.0755,0.235,0.0073,-0.1257,0.0075,0.0118,0.1326,0.9677,0.0472,23.4927,0.3431,0.3286,1.1102,9.8409,20.2927,2.313,1.1828,0.0787,0.0012,68.4667,0.0086,0.0092,0.0304,0.1042,0.1538,0.0255,0.030742719553195,0.0323,0.0287,-0.0319,-18789000.0,-0.0403,133.8891,66891000000,0.0848,-0.0288,0.1375,0.0363,FY2013,2013
13,2.25,2015-02-23,2014-12,193.83,430259000,10.3366,12.7568,73597000000,155.5304,-0.0577,0.0,2.8442,3.5991,0.0,0.1705,0.0844,0.0975,399014000000,0.0675,-0.0391,4.8191,5.7356,13694000000,0.0486,0.3966,28.9391,201191101970,2.7336,23.7337,-23.4488,5.8268,2.8974,0.067,0.1041,0.0967,0.0784,-8580000000,0.0,-3.2005,-0.2484,-18.1318,0.3139,0.0078,0,0.0,0.94,0.9427,0.3519,0,83397101970,177893000000,0.0543,0.2455,0.0295,0.1931,0.0099,0.0108,0.1318,1.4671,0.0528,26.1136,0.3578,0.3361,1.1331,9.838,-9.7199,2.4153,1.201,0.0512,0.0094,72.967,0.0095,0.0092,0.0316,0.1051,0.1089,0.027,0.030742719553195,0.0333,0.0262,-0.0528,-16100000.0,-0.036,146.7392,69437000000,0.0488,-0.061,0.1268,0.0551,FY2014,2014
14,2.55,2016-02-22,2015-12,180.23,419481000,9.9321,12.2005,75528000000,164.6925,0.6222,0.0,2.8072,3.4389,0.0,0.1766,0.0981,0.1333,452762000000,0.0465,0.1347,5.2204,5.442,9769000000,-0.2866,0.2891,21.3017,168607060630,2.2323,27.7177,21.4077,4.9904,2.3621,0.008,-0.2888,0.1006,0.0819,7876000000,0.0,1.9179,0.2331,17.174,0.307,0.009,0,0.0,0.571,0.5691,0.4698,0,75603060630,150024000000,-0.2824,0.18,-0.001,-0.2428,0.0071,0.0102,0.21,15.5322,-0.2896,19.1408,0.2598,0.3361,1.0009,12.4285,9.5991,2.2377,1.0591,0.0295,-0.0214,73.672,0.007,0.009,0.0211,0.0717,0.1047,0.0187,0.030742719553195,0.0244,0.0254,-0.0308,-10778000.0,-0.025,155.6476,71380000000,0.0199,0.0064,0.1196,0.0474,FY2015,2015
15,2.6,2017-02-27,2016-12,239.45,392632000,9.8991,11.8931,75690000000,173.96,0.3025,0.0,2.8823,3.3121,0.2777,0.2725,0.0717,0.0196,467844000000,0.0321,0.0333,5.3841,5.3838,11302000000,0.1569,0.367,25.9756,170379732400,2.251,23.0305,42.4887,5.5336,2.3797,-0.0187,0.3418,0.101,0.084,4010000000,0.0,-0.4908,0.1302,9.2162,0.282,0.0101,0,0.0,0.0951,0.0939,0.4043,0,94015732400,128747000000,0.2161,0.2402,-0.0297,-0.1556,0.0056,0.0099,0.1596,-6.7678,0.1738,23.6819,0.3346,0.3319,1.2421,12.7082,23.4453,3.0534,1.3131,-0.0199,-0.0886,70.7653,0.0085,0.0086,0.0231,0.0852,0.1033,0.0221,0.030742719553195,0.0327,0.0241,-0.0512,-26849000.0,-0.064,164.5483,71595000000,0.0025,-0.0014,0.0927,0.0019,FY2016,2016
16,2.9,2018-02-26,2017-12,254.76,374809000,11.1471,11.6987,70390000000,172.0606,-0.0958,0.0,3.5188,3.3121,0.2459,0.1168,0.0755,0.1153,492775000000,0.0062,0.0532,5.9916,5.3838,12284000000,0.0868,0.3766,30.0268,213014340840,3.0262,49.7,-9.2217,6.5309,3.2103,-0.096,-0.4468,0.0897,0.0854,-23099000000,0.0,-6.7603,-0.7082,-56.4629,0.6149,0.012,0.0039,0.0,0.3299,0.3273,0.4814,0.1061,95486340840,179346000000,-0.4206,0.1314,-0.0302,0.1333,0.0061,0.0092,0.3218,-2.3197,0.0803,27.2109,0.3413,0.3319,1.3565,22.2786,-4.1337,2.9275,1.439,-0.0337,0.0593,79.7262,0.0048,0.0083,0.0229,0.0506,0.0937,0.012,0.030742719553195,0.0179,0.0225,-0.0597,-17823000.0,-0.0453,162.1901,66352000000,-0.0198,0.0658,0.0674,-0.0535,FY2017,2017
17,3.15,2019-02-26,2018-12,167.05,367742000,10.332,11.3817,78982000000,202.4141,0.1862,0.2421,3.1721,3.2038,0.1906,0.1417,0.0844,0.0862,511666000000,0.0375,0.0383,5.6735,5.3838,13809000000,0.1241,0.3787,35.3895,166911301100,2.1132,15.9586,13.5777,4.5784,2.2284,0.1891,1.8046,0.0967,0.0878,12293000000,0.0,1.5321,0.3372,31.5043,0.162,0.0107,0.0084,0.0,0.482,0.4838,0.6249,0.2821,61431301100,155537000000,1.4402,0.2868,-0.0125,0.2847,0.0075,0.0081,0.1246,0.3105,0.1211,31.9861,0.3423,0.3379,0.7777,5.8735,4.9972,1.685,0.8201,0.0507,0.1177,93.429,0.0113,0.0086,0.0238,0.1213,0.1033,0.0279,0.030742719553195,0.0412,0.0241,-0.0461,-7067000.0,-0.0188,191.9528,74900000000,0.0052,0.0163,0.0342,0.0965,FY2018,2018
18,4.15,2020-02-21,2019-12,229.93,347343000,11.0005,11.0738,79062000000,210.5512,0.0229,-0.0691,3.069,3.1206,0.1703,0.2006,0.1058,0.3174,617623000000,0.0495,0.207,6.8423,5.5288,12287000000,-0.1102,0.3363,32.7217,167732575990,2.1215,19.8124,7.6045,4.5921,2.2597,-0.005,-0.1677,0.0909,0.0903,22057000000,-0.0736,0.7942,0.6038,58.7403,0.2,0.013,0.0091,0.0,0.1156,0.1131,0.5807,0.3781,79864575990,143479000000,-0.1905,0.2317,-0.0515,0.1579,0.0077,0.0076,0.1973,-18.5501,-0.152,28.1837,0.2897,0.3319,1.0101,9.4335,3.6208,2.1865,1.0759,-0.021,0.0019,97.2729,0.0087,0.0086,0.0193,0.0938,0.098,0.0227,0.030742719553195,0.0353,0.0228,-0.0376,-20399000.0,-0.0554,197.6697,74225000000,0.0157,0.0656,0.0247,0.0008,FY2019,2019
19,5.0,2021-02-22,2020-12,263.71,344089000,12.1234,11.0738,84729000000,235.1623,0.1669,0.0,3.0687,3.0688,0.2102,0.368,0.1357,0.2048,687959000000,0.0565,0.1138,7.1713,5.8221,14381000000,0.1704,0.3227,39.9139,163198710190,1.9261,17.2532,-7.4608,3.6625,2.0459,0.0649,0.1764,0.0824,0.0903,-21874000000,0.0,-1.9917,-0.4908,-60.7105,0.242,0.0322,0.0096,0.0,0.0873,0.0662,0.4615,0.4329,90739710190,138547000000,0.1172,0.2122,-0.0145,0.0891,0.0072,0.0075,0.2021,1.4759,0.1791,34.635,0.28,0.3313,1.0709,9.5929,-4.1482,2.0363,1.1375,0.0129,0.2199,123.6719,0.0087,0.0086,0.0206,0.1016,0.0977,0.0249,0.030742719553195,0.0404,0.0228,-0.0404,-3254000.0,-0.0093,221.3905,79767000000,0.0246,0.1712,0.0217,0.0627,FY2020,2020
20,6.5,2022-02-25,2021-12,382.55,333573000,13.3179,11.0738,99223000000,278.8729,0.675,-0.1195,2.9281,3.0059,0.2295,0.401,0.1659,0.3,823253000000,0.0695,0.1966,7.4891,5.8326,29059000000,1.0206,0.4897,81.6722,132326351150,1.3336,6.1163,23.7825,2.23,1.3999,0.2941,1.4029,0.075,0.0903,5564000000,-0.126,1.2543,0.0937,15.6379,0.2,0.022,0.0104,0.0,0.3512,0.3655,0.4451,0.4533,127608351150,60843000000,1.2872,0.3646,0.0222,0.3618,0.0085,0.0075,0.1093,0.2004,1.1671,76.0089,0.4557,0.3379,1.286,5.8982,22.9346,2.1504,1.35,0.0749,0.3316,166.7762,0.0164,0.0087,0.0373,0.2101,0.1019,0.0526,0.030742719553195,0.1067,0.0239,-0.0124,-10516000.0,-0.0305,265.6548,94520000000,0.0471,0.2587,0.0456,0.1458,FY2021,2021
21,9.0,2023-02-24,2022-12,343.38,334919000,12.3031,11.0738,106486000000,297.3638,-0.0735,-0.0383,2.7664,2.9356,0.1861,0.0616,0.1765,0.3846,798349000000,0.0522,-0.0302,6.8124,5.8326,15941000000,-0.4514,0.3365,44.5154,129578486220,1.2168,11.5068,16.903,2.7357,1.3208,0.0784,-0.4943,0.0812,0.0903,7666000000,-0.0435,0.3777,0.1618,21.4074,0.1649,0.0299,0.0114,0.0,0.1399,0.1306,0.478,0.4657,115004486220,82374000000,-0.4795,0.2377,0.0706,0.1867,0.0094,0.0075,0.2994,1.3024,-0.5013,37.6598,0.2847,0.3379,1.0799,10.2126,15.0018,2.428,1.1722,0.0332,-0.2017,132.2675,0.0077,0.0087,0.0166,0.0991,0.1003,0.0257,0.030742719553195,0.0608,0.0252,0.0064,1346000.0,0.004,273.9542,98103000000,0.0438,-0.0151,0.0446,0.066,FY2022,2022
22,10.5,2024-02-23,2023-12,385.77,323376000,14.0421,11.0738,105702000000,305.6737,-0.001,0.0,2.8505,2.9052,0.1972,0.1079,0.1774,0.1666,1002452000000,0.0921,0.2556,8.5749,6.402,15595000000,-0.0217,0.3371,45.0983,133270759520,1.2608,15.6494,-11.4641,2.8812,1.3515,0.0399,-0.2391,0.0712,0.0903,-11625000000,0.0,-2.5164,-0.2513,-33.6176,0.207,0.0268,0.0125,0.2876,0.0193,0.0227,0.4397,0.4657,124748759520,91671000000,-0.2437,0.1841,0.0647,-0.1728,0.007,0.0073,0.4591,3.6682,-0.2036,31.0555,0.2321,0.3121,1.1801,14.6487,-10.731,2.697,1.265,0.0306,-0.0234,133.7593,0.0055,0.0086,0.0125,0.0727,0.0964,0.0191,0.030742719553195,0.0417,0.0238,-0.0343,-11543000.0,-0.0344,285.1619,98609000000,0.0605,0.1385,0.0406,-0.0024,FY2023,2023
23,11.5,2025-02-27,2024-12,572.62,310654000,13.7379,11.6353,108743000000,325.9682,-0.2462,0.0,2.8079,2.9052,0.1797,0.0107,0.1772,0.0952,1089629000000,0.1056,0.0869,8.9316,6.8274,20789000000,0.333,0.3884,62.3171,247725693480,2.278,17.3525,-18.0953,4.6293,2.4276,0.0903,0.7726,0.0727,0.086,-13690000000,0.0,-0.1776,-0.2558,-41.0371,0.224,0.0232,0.0175,0.2128,0.0661,0.07,0.4638,0.4668,177886693480,160463000000,0.6763,0.2667,0.0712,0.2684,0.0077,0.0073,0.2836,1.3791,0.7131,55.1468,0.3437,0.3121,1.6358,12.4605,-12.9939,3.3242,1.7432,0.0447,0.1569,160.4076,0.0086,0.0086,0.0207,0.1195,0.0964,0.0312,0.030742719553195,0.0581,0.0238,-0.0352,-12722000.0,-0.0393,305.8842,102043000000,0.0695,0.0209,0.0395,0.0435,FY2024,2024
