,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,accounts_payable,accumulated_depreciation,aoci,apic,cash_and_equiv,common_stock,current_accrued_liabilities,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,equity_and_other_investments,goodwill,intangible_assets,inventories,lt_debt,minority_interest_liability,noncurrent_capital_leases,noncurrent_deferred_revenue,other_current_assets,other_current_liabilities,other_equity,other_lt_assets,other_lt_liabilities,pension_liabilities,ppe_gross,ppe_net,preferred_stock,receivables,retained_earnings,st_debt,st_investments,tax_payable,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,treasury_stock,fiscal_year_key,fiscal_year_number
10,0,2012-02-10,2011-12,9.899,387790000,86992000,-169685000,706000,219119000,508053000,0,54231000,0,148796000,0,0,0,1046934000,0,400000000,0,0,0,1033046000,935036000,54999.0,55052000.0,801331000.0,0,306038000,136353000,0,0,422930000,0,289758000,0,3069196000,1830857000,1225055000,642810000,2426386000,3069196000,1238339000,1201331000.0,0,FY2011,2011
11,0,2013-02-01,2012-12,13.227,389110000,86468000,-204356000,2919000,301616000,290291000,0,53139000,0,169472000,0,0,0,1506008000,0,400000000,0,0,0,1492713000,1366847000,56000.00000004,89409999.999999,1147291000.0,0,336037000,131681000,0,0,440082000,0,457787000,0,3967890000,2240791000,1675926000,744673000,3223217000,3967890000,1727099000,1547291000.0,0,FY2012,2012
12,0,2014-02-03,2013-12,52.596,417249000,108435000,-223591000,3575000,777441000,604965000,0,54018000,0,215767000,0,0,0,2091071000,0,500000000,0,0,0,1858358000,1775983000,59999.0,129124000.0,1424799000.0,0,357196000,133605000,0,0,552485000,0,595440000,0,5412563000,3058763000,2154203000,1333561000,4079002000,5412563000,2353800000,1924799000.0,0,FY2013,2013
13,0,2015-01-29,2014-12,48.801,422911000,201581000,-264816000,-4446000,0,1113608000,1043000000,69746000,0,274586000,0,0,0,2773326000,0,885849000,0,0,0,2318557000,2117241000,-130000.00000011,192246000.0,1635789000.0,0,414691000,149875000,0,0,819284000,0,494888000,0,7042500000,3927053000,2663154000,1857708000,5184792000,7042500000,3115447000,2521638000.0,0,FY2014,2014
14,0,2016-01-28,2015-12,114.38,427940000,253491000,-297346000,-43308000,0,1809330000,1325000000,140389000,0,346721000,0,0,0,4312817000,0,2371362000,0,0,0,3121125000,2789023000,-191000.00000026,284802000.0,2078459000.0,0,470758000,173412000,0,0,941925000,0,501385000,0,10202871000,5431840000,3529624000,2223426000,7979445000,10202871000,4771031000,4449821000.0,0,FY2015,2015
15,0,2017-01-27,2016-12,123.8,430054000,312842000,-294209000,-48565000,0,1467576000,1600000000,197632000,0,443472000,0,0,0,7274501000,0,3364311000,0,0,0,3986509000,3632711000,-237999.99999983,341423000.0,2955842000.0,0,544604000,250395000,0,0,1128603000,0,266206000,0,13586610000,5720291000,4586657000,2679800000,10906810000,13586610000,7866319000,6320153000.0,0,FY2016,2016
16,0,2018-01-29,2017-12,191.96,433393000,359555000,-321814000,-20557000,0,2822795000,1871000000,315094000,0,618622000,0,0,0,10371055000,0,6499432000,0,0,0,4847179000,4173041000,395999.99999973,652309000.0,3465042000.0,0,641218000,319404000,0,0,1731117000,0,0,0,19012742000,7669974000,5466312000,3581956000,15430786000,19012742000,11342768000,9964474000.0,0,FY2017,2017
17,0,2019-01-29,2018-12,267.66,436599000,562985000,-368519000,-19582000,0,3794483000,2316000000,481874000,0,760899000,0,0,0,14951141000,0,10360058000,0,0,0,5330019000,4681562000,-11999.0,910843000.0,3888257000.0,0,786800000,418281000,0,569633000,2942359000,0,0,0,25974400000,9694135000,6487320000,5238765000,20735635000,25974400000,16280265000,14248315000.0,0,FY2018,2018
18,0,2020-01-29,2019-12,323.57,438807000,674347000,-416005000,-23521000,0,5018437000,2794000000,843043000,0,924745000,0,0,0,24504567000,0,14759260000,0,0,0,705668000,4413561000,-70999.0,2727420000.0,4778599000.0,0,981226000,565221000,0,454399000,4811749000,0,0,0,33975712000,6178504000,6855696000,7582157000,26393555000,33975712000,27797208000,19537859000.0,0,FY2019,2019
19,0,2021-01-28,2020-12,540.73,442895000,656183000,-494790000,44398000,0,8205550000,3448000000,1102196000,0,1117992000,0,0,0,25383950000,0,15809095000,0,0,0,945211000,4429536000,-301999.99999968,3174646000.0,4600239000.0,0,1454973000,960183000,0,610819000,7573144000,499878000,0,0,39280359000,9761580000,7805785000,11065240000,28215119000,39280359000,29518779000,20409334000.0,0,FY2020,2020
20,0,2022-01-27,2021-12,602.44,443963000,837483000,-616306000,-40495000,0,6027804000,4025000000,1449351000,0,1209342000,0,0,0,30919539000,0,14693072000,0,0,0,1237701000,4292967000,-439000.00000031,4271846000.0,5553377000.0,0,1939759000,1323453000,0,804320000,12689372000,699823000,0,0,44584663000,8069825000,8488966000,15849248000,28735415000,44584663000,36514838000,20246449000.0,-824190000,FY2021,2021
21,0,2023-01-26,2022-12,294.88,445347000,671513000,-753741000,-217306000,0,5147176000,4638000000,1514650000,0,1264661000,0,0,0,32736713000,0,14353076000,0,0,0,1621123000,4480150000,-398999.0,5193325000.0,5533317000.0,0,2151998000,1398257000,0,1586898000,17181296000,0,911276000,0,48594768000,9266473000,7930974000,20777401000,27817367000,48594768000,39328295000,19886393000.0,-824190000,FY2022,2022
22,0,2024-01-26,2023-12,486.88,432760000,747412000,-855043000,-223945000,0,7116913000,5145000000,1803960000,0,1442969000,0,0,0,31658056000,0,14143417000,0,0,0,938193000,4466470000,171999.0,5664359000.0,5139607000.0,0,2346487000,1491444000,0,1842054000,22589286000,399844000,20973000,0,48731992000,9918133000,8860655000,20588313000,28143679000,48731992000,38813859000,19283024000.0,-6922200000,FY2023,2023
23,0,2025-01-27,2024-12,891.32,427757000,899909000,-917537000,362162000,0,7804733000,6252000000,2156544000,0,1520813000,0,0,0,32452462000,0,13798351000,0,0,0,1528336000,4393681000,126000.0000002,6483777000.0,4333056000.0,0,2511293000,1593756000,0,1988304000,31300917000,1784453000,1779006000,0,53630374000,13100379000,10755400000,24743567000,28886807000,53630374000,40529995000,18131407000.0,-13171638000,FY2024,2024
