,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,capex_growth,cash_and_equiv_growth,cf_cfo_cagr_10,cfo_growth,current_ratio,debt_to_assets,debt_to_assets_median,debt_to_equity,debt_to_equity_median,dividends_per_share_cagr_10,dividends_per_share_growth,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_pretax_income,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_margin_median,fcf_per_share,gross_margin,gross_margin_median,gross_profit_growth,income_tax_rate,market_cap,net_debt,net_income_growth,net_income_margin,nopat,operating_income_growth,operating_income_margin_median,operating_income_per_share,operating_margin,payout_ratio,peg_ratio,ppe_growth,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_pretax_income,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,rotce,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_year_key,fiscal_year_number
10,0.4,2011-11-23,2011-09,30.16,1762200000,1.828,1.8787,39453000000,20.6668,-0.6867,0.17,0.0866,0.0632,1.138,0.1977,0.2363,0.3815,0.468,0.0665,0.1428,9622000000,0.1401,0.2352,5.0403,60884952000,1.5432,12.6658,17.7248,7.5699,1.4888,5.9767,0.0,0.2413,0.547,3435000000,0.0946,-0.2311,0.0839,0.1004,1.7993,0.1902,0.1581,0.1568,0.3462,53147952000,10792000000,0.2129,0.1175,5835750000,0.1568,0.1581,4.0759,0.1902,0.1587,0.0,0.106,0.2136,4.2132,0.1966,0.1571,1.3471,11.0563,15.4724,6.6079,1.2996,5.2172,0.0497,0.0743,21.4211,0.068,0.0561,0.1258,0.1283,0.1056,0.0876,0.011142075603605,0.0926,0.0709,0.2386,-0.02,-134700000,-0.071,5.3363,10187000000,0.0511,0.0421,0.0551,0.0028,FY2011,2011
11,0.6,2012-11-21,2012-09,52.28,1800000000,1.785,1.8422,41958000000,23.0792,-0.0632,0.0634,0.1329,0.1389,1.0699,0.1948,0.2299,0.367,0.4427,0.1106,0.5,10850000000,0.1276,0.2566,5.968,101414000000,2.417,17.8482,24.2501,10.9518,2.3987,8.5704,0.1796,0.242,0.5602,4182000000,0.1156,0.2174,0.0989,0.1005,2.3003,0.4449,0.1676,1.4174,0.3333,94104000000,10924000000,0.182,0.1343,6647250000,0.139,0.1676,4.8751,0.2096,0.1916,0.922,0.0922,0.1513,5.0935,0.219,0.1659,2.2428,16.5617,22.5021,10.1624,2.2258,7.9526,0.0525,0.0338,23.2552,0.0772,0.0597,0.1376,0.1473,0.1137,0.0992,0.011142075603605,0.1052,0.0759,0.2554,-0.0476,37800000,0.0214,6.5088,11833000000,0.0411,0.0384,0.0579,0.0634,FY2012,2012
12,0.75,2013-11-20,2013-09,64.49,1800000000,1.6872,1.8186,48150000000,26.5581,0.261,0.1606,0.1253,0.1865,1.2054,0.1758,0.2151,0.3145,0.4041,0.1357,0.25,11642000000,0.0729,0.2584,6.4214,124927000000,2.5945,20.3596,18.769,12.9861,2.7736,9.2841,0.1907,0.0798,0.5926,6656000000,0.1267,0.5915,0.1477,0.1034,3.6712,0.4441,0.1834,0.0636,0.3101,116082000000,10357000000,0.0799,0.1362,7087500000,0.0662,0.1834,5.2123,0.2098,0.2218,0.9919,0.0403,0.0388,5.3061,0.2135,0.1848,2.4108,18.9181,17.4402,12.0667,2.5772,8.6267,0.0522,0.0653,24.8433,0.0785,0.0639,0.1382,0.144,0.1223,0.099,0.011142075603605,0.1052,0.0819,0.2627,-0.0027,0,0.0,7.4219,13456000000,0.0497,0.0846,0.0711,0.1475,FY2013,2013
13,0.86,2014-11-19,2014-09,89.03,1700000000,1.7464,1.7971,48178000000,27.3894,-0.1841,-0.1297,0.0773,0.0347,1.1412,0.1758,0.2012,0.329,0.3823,0.1514,0.1466,13828000000,0.1877,0.2832,7.8612,160561000000,3.3326,21.4052,24.82,13.1113,3.2893,12.4823,0.1481,0.2603,0.5725,6469000000,0.0723,-0.028,0.1325,0.1054,3.6776,0.4587,0.1906,0.1192,0.3463,151351000000,11374000000,0.2224,0.1536,8655000000,0.2211,0.1906,6.5605,0.2364,0.2018,1.3618,0.0425,0.2729,6.9619,0.2508,0.1961,3.1414,20.1774,23.3963,12.3592,3.1006,11.7663,0.0472,0.0837,27.7504,0.0907,0.0698,0.1602,0.1659,0.1343,0.1142,0.011142075603605,0.1209,0.0886,0.3116,-0.0297,-100000000,-0.0555,7.3126,12863000000,0.0455,0.0356,0.06,0.0005,FY2014,2014
14,1.81,2015-11-25,2015-09,102.2,1600000000,1.8123,1.7971,48655000000,28.4698,-0.2881,0.2478,0.103,0.1641,1.0259,0.1965,0.1971,0.3893,0.3823,0.2239,1.1046,15578000000,0.1265,0.2969,9.1152,172024000000,3.5355,20.523,24.1606,12.4043,3.2788,12.596,0.152,0.1502,0.5517,7120000000,0.1105,0.1006,0.1357,0.1129,4.1661,0.4593,0.1938,0.0762,0.3616,163520000000,13067000000,0.1174,0.1597,9918000000,0.1459,0.1938,7.7378,0.252,0.3693,1.2831,0.0791,0.1324,8.1146,0.2643,0.2051,3.3608,19.5084,22.9662,11.7911,3.1167,11.9733,0.0527,0.0748,30.6992,0.0972,0.0745,0.1769,0.1873,0.1422,0.1229,0.011142075603605,0.1303,0.0932,0.3343,-0.0284,-100000000,-0.0588,7.9912,13657000000,0.0519,0.048,0.0588,0.0099,FY2015,2015
15,1.42,2016-11-23,2016-09,92.86,1600000000,1.9447,1.7987,47323000000,28.873,-0.1191,0.0798,0.0804,0.1537,1.0073,0.2191,0.1971,0.4661,0.3823,0.1805,-0.2154,16885000000,0.0839,0.3035,10.302,160449000000,3.3905,17.0854,19.1855,10.7915,2.8841,12.7705,0.1332,0.1693,0.5141,8363000000,0.0584,0.1745,0.1503,0.1129,5.1025,0.4608,0.3204,0.0638,0.3415,148576000000,15560000000,0.1203,0.1688,10768500000,0.0857,0.2031,8.7602,0.258,0.2478,1.1872,0.0861,0.0721,9.0713,0.2672,0.2155,3.1396,15.8211,17.7658,9.993,2.6706,11.8255,0.0512,0.0603,33.9426,0.1042,0.0774,0.1849,0.2139,0.1456,0.1325,0.011142075603605,0.1414,0.0979,0.3357,-0.0409,0,0.0,7.6656,12564000000,0.0437,0.0436,0.0361,-0.0273,FY2016,2016
16,1.56,2017-11-22,2017-09,98.57,1500000000,2.0755,1.7987,46152000000,29.2471,0.2409,-0.1286,0.0857,-0.0603,0.8108,0.264,0.1971,0.6121,0.3823,0.1753,0.0985,16655000000,-0.0136,0.302,10.5544,162957000000,3.5308,18.1466,18.6877,11.8187,2.9554,21.0783,0.0972,-0.0069,0.4818,8720000000,0.085,0.0426,0.1581,0.1249,5.5259,0.4503,0.4445,-0.0315,0.3207,147855000000,21274000000,-0.0437,0.1628,10404750000,-0.0337,0.2097,8.7915,0.2516,0.2741,1.6936,0.0386,-0.0726,8.7376,0.25,0.2163,3.2036,16.4649,16.9558,10.7234,2.6815,19.1249,0.0449,-0.0088,34.941,0.0956,0.0779,0.172,0.2123,0.1456,0.1214,0.011142075603605,0.129,0.0991,0.315,-0.0372,-100000000,-0.0625,4.8992,7731000000,0.0462,0.0408,0.0371,-0.0247,FY2017,2017
17,1.68,2018-11-21,2018-09,116.94,1500000000,1.8274,1.7987,53955000000,35.8029,-0.2324,0.0331,0.1013,0.1581,0.942,0.2117,0.1971,0.4279,0.3823,0.1698,0.0769,17848000000,0.0716,0.3002,11.8433,188344000000,3.4907,14.9503,19.1601,12.7872,3.1689,11.8649,0.1387,0.4692,0.5472,9830000000,0.0977,0.1272,0.1653,0.1341,6.5228,0.4493,0.4471,0.0755,0.1129,175410000000,16724000000,0.4028,0.2119,11127750000,0.0694,0.2231,9.8453,0.2496,0.2009,1.0035,0.0399,0.0682,9.7737,0.2478,0.2334,3.251,13.9236,17.8443,11.9091,2.9513,11.0501,0.0461,0.0779,39.4386,0.1296,0.0846,0.1778,0.2796,0.1566,0.1612,0.011142075603605,0.1701,0.1067,0.3282,-0.0449,0,0.0,10.5335,15874000000,0.0466,0.0293,0.0482,0.169,FY2018,2018
18,1.76,2019-11-20,2019-09,130.32,1781000000,1.886,1.8199,102852000000,61.7358,-0.092,0.3055,0.0219,-0.5378,0.8973,0.2422,0.1971,0.5286,0.3854,0.1752,0.0476,15997000000,-0.1037,0.2298,9.602,264810920000,2.5746,23.9561,153.0698,19.0196,3.8043,-403.6751,0.1419,-0.2057,0.5302,1730000000,-0.0697,-0.824,0.0248,0.1341,1.0384,0.3957,0.4471,0.0313,0.2173,232099920000,41568000000,-0.1225,0.1588,8872500000,-0.2026,0.2231,7.1008,0.1699,0.265,1.4786,0.0698,-0.0547,8.3571,0.2,0.2334,2.2566,20.9969,134.1618,16.6702,3.3344,-353.8108,0.0677,0.1711,41.7809,0.0755,0.0846,0.0924,0.1606,0.1632,0.0906,0.011142075603605,0.0943,0.1067,0.2067,0.1055,281000000,0.1873,-0.3937,-656000000,0.1188,0.9674,0.1124,0.9062,FY2019,2019
19,0.88,2020-11-25,2020-09,124.08,1807063000,2.0669,1.8277,97512000000,53.9336,0.1751,2.3063,0.0147,0.1531,1.3238,0.3053,0.2047,0.7362,0.4086,0.0965,-0.5,9139000000,-0.4287,0.1397,5.0547,259223377040,2.6583,-90.5109,72.0865,-148.7225,3.9643,398.8051,0.0,-1.2379,0.4838,3596000000,-0.0214,1.0786,0.0549,0.1341,1.9889,0.3289,0.4471,-0.2191,0.0,224220377040,40714000000,-1.259,-0.0438,2845500000,-0.6792,0.2231,2.0984,0.058,-0.5569,0.0,0.015,-1.1251,-0.964,-0.0266,0.2334,2.2994,-78.2892,62.3527,-128.6404,3.429,344.9544,0.0556,-0.0606,36.1659,-0.0144,0.0846,0.0215,-0.0332,0.1632,-0.017,0.011142075603605,-0.0182,0.1067,0.0499,0.0852,26063000,0.0146,0.3595,650000000,0.1128,0.0389,0.095,-0.0519,FY2020,2020
20,0.0,2021-11-24,2021-09,169.17,1818000000,1.9917,1.8567,102224000000,55.9212,0.1103,-0.1091,-0.0225,-0.2692,1.083,0.283,0.2154,0.6508,0.447,0.0,-1.0,8770000000,-0.0403,0.13,4.7975,340132060000,3.3273,170.4922,171.0065,132.8122,5.0451,48.3279,-0.0803,1.6898,0.502,1989000000,-0.0531,-0.4468,0.0295,0.1341,1.088,0.3305,0.4471,0.0362,0.0097,307551060000,38447000000,1.6965,0.0295,2744250000,-0.0355,0.2231,2.0016,0.0542,0.0,-19.176,0.017,2.4693,1.4009,0.0379,0.2334,3.0085,154.1609,154.6259,120.0902,4.5618,43.6986,0.0512,0.031,36.8807,0.0098,0.0846,0.0203,0.0231,0.1632,0.0115,0.011142075603605,0.0127,0.1067,0.0438,0.011,10937000,0.006,3.8501,7038000000,0.1093,0.0102,0.0998,0.0483,FY2021,2021
21,0.0,2022-11-29,2022-09,94.33,1781000000,1.8788,1.8824,108378000000,59.3201,-0.3814,-0.2721,-0.0277,0.0795,1.0008,0.2534,0.2306,0.5431,0.4974,0.0,0.0,11933000000,0.3606,0.1442,6.5314,201685730000,1.8609,64.129,189.0213,38.1619,2.4381,12.8922,-0.0581,0.5779,0.5322,1067000000,-0.1276,-0.4635,0.0128,0.1341,0.584,0.3423,0.4467,0.2707,0.3277,168001730000,36754000000,0.5764,0.038,5077500000,0.8502,0.2231,3.7055,0.0818,0.0,-9.192,0.0297,1.0636,2.8927,0.0638,0.2307,1.5501,53.4186,157.4524,31.7884,2.0309,10.739,0.0694,0.227,45.2775,0.0154,0.0846,0.038,0.0342,0.1632,0.0181,0.011142075603605,0.0196,0.1066,0.0805,-0.0005,-37000000,-0.0203,8.5626,15644000000,0.1051,0.0001,0.0995,0.0602,FY2022,2022
22,0.0,2023-11-21,2023-09,81.05,1830000000,1.819,1.8824,113012000000,61.7551,-0.0052,0.221,0.0042,0.6415,1.0521,0.2427,0.2424,0.5025,0.5156,0.0,0.0,14361000000,0.2034,0.1615,7.8475,176240500000,1.5594,74.8685,35.9894,36.9554,1.9825,7.7014,-0.0918,-0.25,0.5497,4897000000,-0.0302,3.5895,0.055,0.0938,2.6759,0.334,0.4225,0.0485,0.2891,148321500000,32249000000,-0.2515,0.0264,6744000000,0.3282,0.2031,4.9136,0.1011,0.0,-6.8614,0.04,-0.0976,2.606,0.0536,0.2239,1.3124,63.0082,30.2882,31.1011,1.6684,6.4814,0.0703,0.0746,48.5781,0.0115,0.0831,0.0504,0.0242,0.1632,0.0134,0.011142075603605,0.0145,0.1024,0.1036,0.0016,49000000,0.0275,12.5049,22884000000,0.0972,0.0095,0.089,0.0427,FY2023,2023
23,0.75,2024-11-14,2024-09,96.19,1808587000,1.8595,1.8824,105522000000,57.6308,-0.0891,-0.5767,0.0363,0.416,0.7295,0.2484,0.2455,0.484,0.5156,-0.0135,0.0,16904000000,0.177,0.185,9.2321,206935983530,1.961,41.6202,24.1775,27.3399,2.265,9.6442,-0.0438,1.1085,0.5377,8559000000,0.0283,0.7478,0.0936,0.0743,4.6744,0.3575,0.3766,0.0998,0.2372,173967983530,39813000000,1.1121,0.0544,8935500000,0.3249,0.1501,6.5068,0.1304,0.2757,-7.9753,0.0601,0.5871,4.1338,0.0828,0.1414,1.6486,34.9895,20.3257,22.9842,1.9041,8.1077,0.0646,0.0277,49.8967,0.0247,0.0501,0.0686,0.0497,0.1051,0.0296,0.011142075603605,0.0315,0.0601,0.1377,0.0005,-21413000,-0.0117,11.7187,21457000000,0.0883,-0.0455,0.0815,-0.0662,FY2024,2024
