,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
57,0.65,2016-08-04,2016-06,148.58,406592000,10.3664,10.2516,75311000000,171.4731,0.6976,0.1602,2.9206,2.8813,0.0573,0.3889,0.0168,0.0,432009000000,0.0039,0.072,4.9935,4.8767,2708000000,0.3601,0.3414,6.1657,150278439360,1.9954,29.1916,9.2701,5.297,2.1116,-0.021,0.8787,0.0964,0.0975,9487000000,0.164,2.1569,1.196,21.6006,0.2602,0.0105,0.0074,0.1247,0.2599,0.2556,0.3938,0.3877,60411439360,149386000000,0.7385,0.2297,-0.006,0.1372,0.0075,0.0086,0.1747,-5.5855,0.4269,5.6079,0.3105,0.3098,0.8021,11.7349,3.7265,2.1294,0.8488,-0.0101,-0.1253,18.0601,0.0058,0.0087,0.0157,0.0593,0.0973,0.0151,0.02676936111714,0.0207,0.0249,-0.0485,-10980000.0,-0.0262,162.0355,71166000000,-0.0016,0.0429,0.0098,-0.013,FY2016.FQ2,2
58,0.65,2016-11-03,2016-09,161.27,399212000,10.102,10.1389,75907000000,176.4458,0.5178,0.0,2.9442,2.8813,0.0571,0.3618,0.0168,0.0,441510000000,0.0121,0.1076,5.0684,4.8767,3115000000,0.3734,0.3813,7.2408,163305919240,2.1513,28.0787,16.2833,5.5027,2.2743,0.0195,0.6827,0.0989,0.0986,-5348000000,0.0,-7.4124,-0.6547,-12.4314,0.2698,0.0099,0.0078,0.0,0.1653,0.1629,0.3978,0.3958,64380919240,156938000000,0.4684,0.2563,-0.051,-0.2707,0.0067,0.0084,0.1331,5.6548,0.4017,6.6666,0.3511,0.3098,0.8481,11.0696,6.4194,2.1693,0.8966,-0.0131,0.1904,18.9865,0.0065,0.0087,0.0171,0.0669,0.0907,0.017,0.02676936111714,0.0242,0.0237,-0.0619,-7380000.0,-0.0181,166.906,71803000000,-0.0039,-0.0006,0.0096,-0.0067,FY2016.FQ3,3
59,0.65,2017-02-27,2016-12,239.45,392632000,9.8991,10.1066,75690000000,178.5141,0.3025,0.2089,2.8823,2.8632,0.0534,0.2725,0.0168,0.0,467844000000,0.015,0.0333,5.3841,4.8877,3664000000,1.7,0.4386,8.6415,170379732400,2.251,23.0305,42.4887,5.5336,2.3797,0.0216,3.0,0.101,0.0989,2776000000,0.2318,-0.6843,0.3323,6.5471,0.309,0.0101,0.0084,0.0,0.0951,0.0939,0.4043,0.4011,94015732400,128747000000,2.0679,0.281,-0.1033,-0.52,0.0056,0.0079,0.1279,5.8661,2.1688,8.0117,0.4067,0.3308,1.2421,12.7082,23.4453,3.0534,1.3131,-0.0088,0.1537,19.6981,0.0085,0.0085,0.0221,0.085,0.0851,0.0217,0.02676936111714,0.0321,0.0221,-0.0613,-6580000.0,-0.0164,168.8561,71595000000,0.0,-0.0014,0.0062,0.0019,FY2016.FQ4,4
60,0.65,2017-05-04,2017-03,229.72,394792000,10.2864,10.1066,75714000000,180.2285,0.554,0.0,2.9725,2.8632,0.0507,0.2199,0.0168,0.0,482833000000,0.0243,0.1649,5.5551,4.9749,2796000000,0.5404,0.3483,6.6555,178904618240,2.3629,21.0031,64.7032,5.5084,2.497,0.012,0.9216,0.0972,0.0989,-4150000000,0.0,-0.4285,-0.517,-9.8786,0.1118,0.0106,0.0094,0.0,0.0519,0.0513,0.398,0.4012,90691618240,135334000000,0.9867,0.2809,-0.0684,-0.4156,0.0046,0.0073,0.1262,8.8577,0.611,6.0437,0.3163,0.3134,1.1978,10.647,32.7998,2.7924,1.2658,-0.0043,0.2663,19.1049,0.0097,0.0085,0.0241,0.098,0.0851,0.0249,0.02676936111714,0.0389,0.0221,-0.061,2160000.0,0.0055,170.5474,71647000000,0.0028,0.0182,0.0055,0.0009,FY2017.FQ1,1
61,0.75,2017-08-04,2017-06,221.9,388213000,10.4588,10.1066,75472000000,182.6082,0.0735,0.0,3.1043,2.9011,0.0424,0.0148,0.0225,0.1538,493297000000,0.0214,0.1418,5.6913,5.0309,2774000000,0.0243,0.3517,6.7118,191270464700,2.5343,22.4311,-10.6338,5.8974,2.6791,-0.0102,0.0618,0.0956,0.0989,-11265000000,0.0,-2.1874,-1.4282,-27.2562,0.2702,0.0131,0.01,0.0648,0.122,0.119,0.4354,0.4192,86144464700,158179000000,0.0049,0.2321,-0.0196,0.045,0.0046,0.0071,0.1898,-9.8272,0.0186,6.0706,0.3181,0.3134,1.1414,10.1025,-4.7892,2.656,1.2066,0.0025,-0.0056,19.0829,0.0094,0.0085,0.0237,0.0982,0.0851,0.0243,0.02676936111714,0.0365,0.0221,-0.0589,-6579000.0,-0.0166,172.7365,71392000000,0.0057,0.0107,0.0045,0.0018,FY2017.FQ2,2
62,0.75,2017-11-03,2017-09,237.19,379099000,10.7788,10.1066,75089000000,185.085,0.1715,-0.0869,3.2444,2.9202,0.0442,0.0659,0.0225,0.0,512307000000,0.0196,0.1603,5.9369,5.1444,3256000000,0.0452,0.391,8.0256,197035491810,2.624,23.0154,-18.9803,6.0457,2.7739,-0.0166,0.0286,0.0927,0.0989,2258000000,-0.0995,1.4222,0.2711,5.5656,0.2849,0.0118,0.0101,0.0659,0.2556,0.2531,0.4686,0.4348,89918491810,163358000000,0.0162,0.2555,-0.0161,0.1889,0.0047,0.0069,0.1494,-6.2942,0.0376,7.3354,0.3574,0.3134,1.1974,10.5032,-8.6618,2.7589,1.2659,-0.0237,0.0193,20.5225,0.0093,0.0085,0.0233,0.0989,0.0851,0.0237,0.02676936111714,0.0346,0.0221,-0.0569,-9114000.0,-0.0234,175.0825,71031000000,0.0072,0.0569,0.0013,-0.0093,FY2017.FQ3,3
63,0.75,2018-02-26,2017-12,254.76,374809000,11.1471,10.1988,70390000000,177.1263,-0.0958,0.0,3.5188,2.9324,0.0452,0.1168,0.0144,0.0,492775000000,0.0203,0.0532,5.9916,5.3023,3458000000,-0.0562,0.4075,8.7015,213014340840,3.0262,49.7,-9.2217,6.5094,3.2103,0.0,-2.0846,0.0897,0.098,-9942000000,0.0,-4.5814,-1.1717,-25.0176,1.6203,0.012,0.0103,0.056,0.3299,0.3273,0.4814,0.4485,95486340840,179346000000,-1.8214,-0.2272,0.0308,1.6726,0.0058,0.0062,-0.1361,0.0,-0.085,7.8208,0.3662,0.3172,1.3565,22.2786,-4.1337,2.9179,1.439,-0.0066,0.0159,21.3512,0.0046,0.0077,0.022,0.0508,0.0773,0.0116,0.02676936111714,0.0167,0.02,-0.0627,-4290000.0,-0.0113,166.9652,66352000000,0.0064,0.0658,-0.0063,-0.0535,FY2017.FQ4,4
64,0.75,2018-05-04,2018-03,251.86,377706000,11.648,10.3264,72376000000,183.7887,-0.0205,0.0,3.5945,2.9584,0.0513,0.1798,0.0144,0.0,529843000000,0.0288,0.0973,6.3394,5.4696,3718000000,0.3297,0.3688,9.4413,211314033160,2.9196,43.4534,-10.3236,6.076,3.0926,0.0913,0.3495,0.0858,0.0968,-1520000000,0.0,0.6337,-0.1507,-3.8598,0.1716,0.0105,0.0105,0.0547,0.4228,0.4229,0.48,0.4485,95129033160,179928000000,0.2558,0.2809,0.0086,0.779,0.0065,0.0061,0.1079,2.1417,0.3465,8.682,0.3391,0.3286,1.3143,19.5617,-4.6474,2.7353,1.3922,0.0392,0.2559,25.5967,0.0051,0.0067,0.0229,0.0586,0.0683,0.0128,0.02676936111714,0.0185,0.0177,-0.0626,2897000.0,0.0077,173.5068,68327000000,0.01,0.0888,-0.0048,-0.0384,FY2018.FQ1,1
65,0.8,2018-08-03,2018-06,220.57,377879000,11.185,10.4126,75396000000,192.0427,0.1851,-0.0079,3.4427,3.0384,0.0463,0.2222,0.0209,0.0666,554340000000,0.0204,0.1237,6.4012,5.6232,3611000000,0.3017,0.3747,9.1976,191333771030,2.5377,34.185,-103.1448,5.2381,2.6838,0.1675,0.5139,0.0894,0.096,7349000000,-0.0178,1.6523,0.7626,18.7187,0.217,0.0117,0.0105,0.0504,0.3712,0.3731,0.4885,0.4485,83348771030,166721000000,0.4008,0.2661,0.0365,0.2715,0.0065,0.0061,0.1337,0.8885,0.3056,8.3443,0.3399,0.3395,1.1054,14.8916,-44.9319,2.2818,1.1691,0.029,0.2217,24.544,0.0057,0.0061,0.0238,0.0657,0.0663,0.0145,0.02676936111714,0.0216,0.016,-0.05,173000.0,0.0004,181.5843,71290000000,0.0117,0.0684,-0.0001,-0.0008,FY2018.FQ2,2
66,0.8,2018-11-02,2018-09,224.24,372739000,11.0323,10.6188,75559000000,193.4929,0.0193,0.0,3.4303,3.1743,0.0374,0.1412,0.0209,0.0,546884000000,0.0281,0.0674,6.3032,5.8141,3395000000,0.0426,0.3849,8.6939,206858993360,2.7377,34.5167,-18.6645,5.5876,2.8948,0.0888,0.2509,0.0906,0.0941,-6970000000,0.0,-4.0868,-0.7902,-17.8489,0.1799,0.0126,0.0112,0.0474,0.2372,0.2362,0.508,0.452,83582993360,178750000000,0.186,0.2861,-0.0031,0.1726,0.0066,0.0061,0.1273,1.569,0.0342,7.8822,0.3489,0.3444,1.1061,13.9467,-7.5415,2.2577,1.1696,0.0335,0.0593,22.5864,0.0062,0.0063,0.0239,0.0691,0.068,0.0155,0.02676936111714,0.0231,0.0163,-0.0374,-5140000.0,-0.0136,182.991,71458000000,0.0086,0.029,-0.0001,0.0054,FY2018.FQ3,3
67,0.8,2019-02-26,2018-12,167.05,367742000,10.332,10.6188,78982000000,205.7358,0.1862,0.0351,3.1721,3.2083,0.0249,0.1417,0.0209,0.0,511666000000,0.017,0.0383,5.6735,5.8141,3085000000,-0.1078,0.3818,8.0359,166911301100,2.1132,15.9586,13.5777,4.5584,2.2284,0.0496,2.0961,0.0967,0.0941,13434000000,0.0353,2.3512,1.6626,34.9934,0.0627,0.0107,0.0112,0.0733,0.482,0.4838,0.6249,0.4743,61431301100,155537000000,2.3163,0.3141,0.0277,0.1035,0.0071,0.0061,0.1324,1.1827,-0.1287,7.0539,0.3351,0.3444,0.7777,5.8735,4.9972,1.6777,0.8201,0.0018,-0.0477,21.0471,0.011,0.0075,0.0233,0.1182,0.077,0.0275,0.02676936111714,0.0409,0.0193,-0.0339,-4997000.0,-0.0134,195.1028,74900000000,0.0038,0.0163,0.0041,0.0965,FY2018.FQ4,4
68,0.8,2019-05-06,2019-03,191.99,366772000,10.2505,10.6188,79070000000,206.773,-0.2706,0.0,3.2353,3.2399,0.0279,0.0874,0.0209,0.0,540807000000,0.0204,0.0206,5.9907,5.9638,3087000000,-0.1697,0.3505,8.0726,222220556280,2.8104,22.4965,-7.3058,6.2875,2.9638,0.0158,-0.1784,0.0975,0.0941,-44230000000,0.0,-28.0986,-5.0221,-115.6642,0.1721,0.0135,0.0118,0.0539,0.1565,0.1531,0.5105,0.4807,70416556280,204183000000,-0.2051,0.2555,0.0708,0.3267,0.0077,0.0061,0.1401,4.5028,-0.2047,7.1103,0.3087,0.3395,0.8905,7.1286,-2.315,1.9923,0.9391,0.0075,-0.1262,23.0308,0.0106,0.0089,0.0217,0.1094,0.0915,0.026,0.02676936111714,0.0365,0.0227,-0.0289,-970000.0,-0.0026,196.0721,74978000000,0.005,-0.0494,0.0035,0.08,FY2019.FQ1,1
69,0.85,2019-08-05,2019-06,204.6,360540000,10.3958,10.6188,79689000000,210.8174,-0.3068,0.0935,3.2043,3.2399,0.0297,0.0842,0.0271,0.0625,552840000000,0.0168,-0.0027,6.0823,5.9912,3526000000,-0.0235,0.3726,9.328,216779484000,2.7203,22.2703,-7.2365,6.1641,2.8684,0.0135,-0.0284,0.0961,0.0941,7810000000,0.1089,0.0627,0.8254,20.6613,0.2257,0.0142,0.0119,0.054,0.1336,0.1307,0.5108,0.485,73766484000,200157000000,-0.0561,0.2558,0.1229,0.0688,0.0075,0.0065,0.1462,5.6062,-0.0454,8.2724,0.3305,0.3371,0.9256,7.5782,-2.4624,2.0975,0.976,0.0125,-0.0181,25.0291,0.0104,0.0093,0.0212,0.1074,0.0981,0.0254,0.02676936111714,0.0332,0.024,-0.0371,-6232000.0,-0.0169,199.9338,75575000000,0.0094,-0.0244,0.0045,0.0495,FY2019.FQ2,2
70,1.25,2019-11-01,2019-09,207.23,357509000,10.9477,10.8632,80809000000,215.8936,-0.2084,0.0,3.1334,3.2399,0.0362,0.2058,0.0675,0.4705,612004000000,0.0239,0.119,6.6513,6.037,2889000000,-0.149,0.3471,7.7184,211098590070,2.6123,23.2308,-14.6953,6.0886,2.7804,-0.0072,-0.2372,0.0913,0.092,8621000000,0.0,2.2368,1.0358,23.0323,0.223,0.0151,0.0123,0.0552,0.1321,0.1292,0.477,0.485,74086590070,194222000000,-0.2563,0.2255,0.0692,0.1775,0.0073,0.0066,0.2609,-11.2916,-0.215,6.4547,0.2902,0.3371,0.9168,8.153,-5.1574,2.1368,0.9758,0.0036,-0.0563,22.2361,0.0093,0.0093,0.0197,0.0993,0.0986,0.0238,0.02676936111714,0.0314,0.0237,-0.0414,-3031000.0,-0.0084,202.8399,75923000000,0.0119,0.0523,0.0057,0.0605,FY2019.FQ3,3
71,1.25,2020-02-21,2019-12,229.93,347343000,11.0005,10.9741,79062000000,215.1932,0.0229,0.0,3.069,3.2399,0.0423,0.2006,0.0524,0.0,617623000000,0.0227,0.207,6.8423,6.1928,2785000000,-0.0972,0.2803,7.5802,167732575990,2.1215,19.8124,7.6045,4.5921,2.2597,0.0173,-0.2235,0.0909,0.0911,49856000000,0.0,2.7111,5.0182,135.6995,0.174,0.013,0.0123,0.0727,0.1156,0.1131,0.5807,0.4983,79864575990,143479000000,-0.2446,0.1929,0.0305,0.0746,0.007,0.0068,0.2665,5.4466,-0.1429,6.3173,0.2336,0.3371,1.0101,9.4335,3.6208,2.1865,1.0759,0.0233,0.2295,27.0413,0.0084,0.0088,0.0188,0.0928,0.0959,0.0226,0.02676936111714,0.0325,0.0231,-0.0429,-10166000.0,-0.0284,202.0277,74225000000,0.0091,0.0656,0.004,0.0008,FY2019.FQ4,4
72,1.25,2020-05-01,2020-03,154.59,343857000,11.7965,11.0164,81176000000,224.8019,0.2003,0.0,3.2703,3.2528,0.0518,0.3403,0.0524,0.0,606121000000,0.0169,0.1207,6.5612,6.3213,1785000000,-0.4217,0.2041,4.9432,188532853630,2.3225,25.3813,17.4405,5.1708,2.4688,-0.0467,-0.4553,0.0847,0.0907,-55477000000,0.0,-0.2542,-6.346,-153.6333,0.1001,0.0218,0.0128,0.0775,0.5669,0.5537,0.5969,0.5093,53156853630,196620000000,-0.4611,0.1387,0.0604,0.0779,0.0072,0.0071,0.4019,-1.5306,-0.5042,3.733,0.1541,0.3328,0.6548,7.1562,4.9173,1.4579,0.696,0.0048,-0.0073,24.2093,0.0071,0.0077,0.0157,0.0813,0.0871,0.0195,0.02676936111714,0.0284,0.021,-0.0557,-3486000.0,-0.01,211.4815,76366000000,0.0159,0.1776,0.0068,0.0233,FY2020.FQ1,1
