Underlying,Description,Margin Type,Instrument Type,Quantity,Exp Date,DTE,Strike Price,Call/Put,Requirement,BP Usage %,Initial Requirement,Maintenance
Spread,MRK   230519C00115000,,Equity Option,-1,May 19,56d,115,Call
Spread,MRK   230519C00120000,,Equity Option,1,May 19,56d,120,Call
MRK,MRK  Subtotal,,,,,,,,$256.50,2.0%,$300.00,$300.00
Spread,MRK   230428C00112000,,Equity Option,-1,Apr 28,35d,112,Call
Spread,MRK   230428C00115000,,Equity Option,1,Apr 28,35d,115,Call
NEM,NEM Total,,,,,,,,$125.50,1.0%,$250.00,$250.00
NEM,NEM  Subtotal,,,,,,,,$125.50,1.0%,$250.00,$250.00
Spread,NEM   230421C00047500,,Equity Option,-1,Apr 21,28d,47.5,Call
Spread,NEM   230421C00050000,,Equity Option,1,Apr 21,28d,50,Call
PEP,PEP Total,,,,,,,,$417.72,3.3%,$500.00,$500.00
PEP,PEP  Subtotal,,,,,,,,$417.72,3.3%,$500.00,$500.00
Spread,PEP   230421P00155000,,Equity Option,1,Apr 21,28d,155,Put
Spread,PEP   230421P00160000,,Equity Option,-1,Apr 21,28d,160,Put
Spread,PEP   230421C00185000,,Equity Option,-1,Apr 21,28d,185,Call
Spread,PEP   230421C00190000,,Equity Option,1,Apr 21,28d,190,Call
SO,SO Total,,,,,,,,$45.00,0.4%,$100.00,$100.00
SO,SO  Subtotal,,,,,,,,$45.00,0.4%,$100.00,$100.00
Spread,SO    230406C00068000,,Equity Option,-1,Apr 6,13d,68,Call
Spread,SO    230406C00069000,,Equity Option,1,Apr 6,13d,69,Call
SOXL,SOXL Total,,,,,,,,$299.50,2.4%,$600.00,$600.00
SOXL,SOXL  Subtotal,,,,,,,,$299.50,2.4%,$600.00,$600.00
Spread,SOXL  230421P00015500,,Equity Option,2,Apr 21,28d,15.5,Put
Spread,SOXL  230421P00016000,,Equity Option,1,Apr 21,28d,16,Put
Spread,SOXL  230421P00017000,,Equity Option,-1,Apr 21,28d,17,Put
Spread,SOXL  230421P00018000,,Equity Option,-2,Apr 21,28d,18,Put
