,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,accounts_payable,accumulated_depreciation,aoci,apic,cash_and_equiv,common_stock,current_accrued_liabilities,current_capital_leases,current_deferred_revenue,current_deferred_tax_liability,equity_and_other_investments,goodwill,intangible_assets,inventories,lt_debt,minority_interest_liability,noncurrent_capital_leases,noncurrent_deferred_revenue,other_current_assets,other_current_liabilities,other_equity,other_lt_assets,other_lt_liabilities,pension_liabilities,ppe_gross,ppe_net,preferred_stock,receivables,retained_earnings,st_debt,st_investments,tax_payable,total_assets,total_current_assets,total_current_liabilities,total_equity,total_liabilities,total_liabilities_and_equity,total_noncurrent_assets,total_noncurrent_liabilities,treasury_stock,fiscal_year_key,fiscal_year_number
10,0.487,2012-03-27,2012-01,20.453,10254000000,36608000000,-48614000000,-1410000000,3692000000,6550000000,342000000,15857000000,326000000,0,0,0,20651000000,0,40714000000,44070000000,4850000000,3009000000,0,1774000000,0,0,5456000000,7862000000,0,160938000000,112324000000,0,5937000000,68691000000,6022000000,0,3487000000,193406000000,54975000000,62300000000,76165000000,117241000000,193406000000,138431000000,54941000000,0,FY2012,2012
11,0.53,2013-03-26,2013-01,23.317,9942000000,38080000000,-55043000000,-587000000,3620000000,7781000000,332000000,15957000000,327000000,0,0,0,20497000000,0,43803000000,38394000000,5914000000,3023000000,0,1588000000,0,0,5987000000,7613000000,0,171724000000,116681000000,0,6768000000,72978000000,12392000000,0,5062000000,203105000000,59940000000,71818000000,82257000000,120848000000,203105000000,143165000000,49030000000,0,FY2013,2013
12,0.627,2014-03-21,2014-01,24.893,9699000000,37415000000,-60771000000,-2996000000,2362000000,7281000000,323000000,16239000000,309000000,0,0,0,19510000000,0,44858000000,41771000000,6575000000,2788000000,0,2369000000,89000000,0,6149000000,8017000000,0,178678000000,117907000000,0,6677000000,76566000000,11773000000,0,3520000000,204751000000,61185000000,69345000000,82830000000,121921000000,204751000000,143566000000,52576000000,0,FY2014,2014
13,0.64,2015-04-01,2015-01,28.327,9684000000,38410000000,-65979000000,-7168000000,2462000000,9135000000,323000000,16560000000,287000000,0,0,0,18102000000,0,45141000000,40889000000,4543000000,2606000000,0,2224000000,0,0,5455000000,8805000000,0,182634000000,116655000000,0,6778000000,85777000000,6383000000,0,3613000000,203490000000,63278000000,65253000000,85937000000,117553000000,203490000000,140212000000,52300000000,0,FY2015,2015
14,0.653,2016-03-30,2016-01,22.12,9486000000,38487000000,-71538000000,-11597000000,1805000000,8705000000,317000000,17063000000,551000000,0,0,0,16695000000,0,44469000000,38214000000,3065000000,5816000000,0,1441000000,0,0,6131000000,7321000000,0,188054000000,116516000000,0,5624000000,90021000000,5453000000,0,3065000000,199581000000,60239000000,64619000000,83611000000,115970000000,199581000000,139342000000,51351000000,0,FY2016,2016
15,0.667,2017-03-31,2017-01,22.247,9144000000,41433000000,-76951000000,-14232000000,2371000000,6867000000,305000000,15982000000,565000000,1856000000,0,0,17037000000,0,43046000000,36015000000,2737000000,6003000000,0,1941000000,0,0,9921000000,9344000000,0,191129000000,114178000000,0,5835000000,89354000000,3355000000,0,3737000000,198825000000,57689000000,66928000000,80535000000,118290000000,198825000000,141136000000,51362000000,0,FY2017,2017
16,0.68,2018-03-30,2018-01,35.533,8856000000,46092000000,-83039000000,-10181000000,2648000000,6756000000,295000000,17032000000,667000000,2017000000,0,0,18242000000,0,43783000000,30045000000,2953000000,6780000000,0,3511000000,0,0,11798000000,8354000000,0,197857000000,114818000000,0,5614000000,85107000000,8995000000,0,3718000000,204522000000,59664000000,78521000000,80822000000,123700000000,204522000000,144858000000,45179000000,0,FY2018,2018
17,0.693,2019-03-28,2019-01,31.943,8700000000,47060000000,-81493000000,-11542000000,2965000000,7722000000,288000000,17248000000,729000000,1932000000,0,0,31181000000,0,44269000000,43520000000,7138000000,6683000000,0,3623000000,0,0,14822000000,11981000000,0,192888000000,111395000000,0,6283000000,80785000000,7101000000,0,3407000000,219295000000,61897000000,77477000000,79634000000,139661000000,219295000000,157398000000,62184000000,0,FY2019,2019
18,0.707,2020-03-20,2020-01,38.163,8400000000,46973000000,-89820000000,-12805000000,3247000000,9465000000,284000000,17267000000,2304000000,1990000000,0,0,31073000000,0,44435000000,43714000000,6883000000,20478000000,0,1622000000,0,0,16567000000,12961000000,0,216869000000,127049000000,0,6284000000,83943000000,5937000000,0,3319000000,236495000000,61806000000,77790000000,81552000000,154943000000,236495000000,174689000000,77153000000,0,FY2020,2020
19,0.72,2021-03-19,2021-01,46.83,8463000000,49141000000,-88370000000,-11766000000,3646000000,17741000000,282000000,19594000000,1957000000,2310000000,0,0,28983000000,0,44949000000,41194000000,6606000000,16756000000,0,20861000000,12734000000,0,23598000000,14370000000,0,198218000000,109848000000,0,6516000000,88763000000,3339000000,0,3570000000,252496000000,90067000000,92645000000,87531000000,164965000000,252496000000,162429000000,72320000000,0,FY2021,2021
20,0.733,2022-03-18,2022-01,46.603,8283000000,55261000000,-94809000000,-8766000000,4839000000,14760000000,276000000,20254000000,1994000000,2559000000,0,0,29014000000,0,56511000000,34864000000,8638000000,17252000000,0,1519000000,0,0,22152000000,13474000000,0,207433000000,112624000000,0,8280000000,86904000000,3213000000,0,4098000000,244860000000,81070000000,87379000000,91891000000,152969000000,244860000000,163790000000,65590000000,0,FY2022,2022
21,0.747,2023-02-21,2023-01,47.957,8100000000,54002000000,-101610000000,-11680000000,4969000000,8885000000,269000000,31126000000,2040000000,2488000000,0,0,28174000000,0,56576000000,34649000000,7298000000,17671000000,0,2521000000,-2488000000,0,20134000000,14688000000,0,119234000000,119234000000,0,7933000000,83135000000,4563000000,0,727000000,243457000000,75915000000,92458000000,83991000000,159466000000,243457000000,167542000000,67008000000,0,FY2023,2023
22,0.76,2024-03-15,2024-01,55.083,8054000000,56812000000,-109049000000,-11302000000,4544000000,9867000000,805000000,22636000000,2212000000,2664000000,0,0,28113000000,0,54892000000,36132000000,6710000000,18652000000,0,3322000000,0,0,17071000000,14629000000,0,239387000000,130338000000,0,8796000000,89814000000,4325000000,0,3766000000,252399000000,76877000000,92415000000,90571000000,161828000000,252399000000,175522000000,69413000000,0,FY2024,2024
23,0.83,2025-03-14,2025-01,98.16,8024000000,58666000000,-111624000000,-13605000000,5503000000,9037000000,802000000,23087000000,2299000000,2755000000,0,0,28792000000,0,56435000000,33401000000,6679000000,18748000000,0,4011000000,0,0,12869000000,14398000000,0,251328000000,139704000000,0,9975000000,98313000000,5666000000,0,4111000000,260823000000,79458000000,96584000000,97692000000,163131000000,260823000000,181365000000,66547000000,0,FY2025,2025
