,dividends,original_filing_date,period_end_date,period_end_price,shares_eop,assets_to_equity,assets_to_equity_median,book_value,book_value_per_share,cash_and_equiv_growth,cf_cfo_cagr_10,debt_to_equity,debt_to_equity_median,deposits_cagr_10,deposits_growth,dividends_per_share_cagr_10,dividends_per_share_growth,earning_assets,earning_assets_cagr_10,earning_assets_growth,earning_assets_to_equity,earning_assets_to_equity_median,ebitda,ebitda_growth,ebitda_margin,ebitda_per_share,enterprise_value,enterprise_value_to_book,enterprise_value_to_earnings,enterprise_value_to_fcf,enterprise_value_to_sales,enterprise_value_to_tangible_book,eps_diluted_cagr_10,eps_diluted_growth,equity_to_assets,equity_to_assets_median,fcf,fcf_cagr_10,fcf_growth,fcf_margin,fcf_per_share,income_tax_rate,loan_loss_reserve_to_loans,loan_loss_reserve_to_loans_median,loans_gross_cagr_10,loans_gross_growth,loans_net_growth,loans_to_deposits,loans_to_deposits_median,market_cap,net_debt,net_income_growth,net_income_margin,net_interest_income_cagr_10,net_interest_income_growth,net_interest_margin,nim_median,payout_ratio,peg_ratio,pretax_income_growth,pretax_income_per_share,pretax_margin,pretax_margin_median,price_to_book,price_to_earnings,price_to_fcf,price_to_sales,price_to_tangible_book,revenue_cagr_10,revenue_growth,revenue_per_share,roa,roa_median,roce,roe,roe_median,roic,roic_5yr_avg,roic_legacy,roic_median,shares_diluted_growth,shares_eop_change,shares_eop_growth,tangible_book_per_share,tangible_book_value,total_assets_cagr_10,total_assets_growth,total_equity_cagr_10,total_equity_growth,fiscal_quarter_key,fiscal_quarter_number
58,0.48,2016-11-01,2016-09,66.59,3578264000,9.9123,10.034,228263000000,62.2003,0.0506,-0.1177,1.3454,1.4191,0.007,0.0809,0.0236,0.0,1810606000000,-0.0025,0.0395,7.119,7.2119,10346000000,0.2968,0.4193,2.8192,150620599760,0.6598,6.4257,-59.1132,1.5825,0.86,0.0212,-0.0595,0.1008,0.0996,4192000000,-0.1177,-0.8331,0.1699,1.1422,0.2967,0.0159,0.0171,0.0196,0.097,0.0978,0.6453,0.6252,238276599760,-75398000000,-0.0761,0.2547,0.0084,0.0621,0.0254,0.0243,0.3037,4.777,0.3282,2.4358,0.3622,0.3339,1.0438,10.1653,-93.5151,2.5035,1.3605,0.0061,0.083,6.7232,0.0094,0.0092,0.0171,0.0925,0.0955,0.0398,0.069718844518377,0.1187,0.0389,-0.0149,-33718000.0,-0.0093,47.7238,175137000000,0.0017,0.0429,0.0147,0.035,FY2016.FQ3,3
59,0.48,2017-02-28,2016-12,86.29,3561190000,9.7996,9.8744,228122000000,62.5591,0.0808,0.0,1.297,1.3559,0.0041,0.0745,0.0183,0.0,1829742000000,-0.0049,0.0655,7.1983,7.1587,10125000000,0.1713,0.417,2.7766,212905085100,0.9332,8.6081,9.7288,2.2046,1.2244,0.0159,0.2954,0.102,0.1012,40599000000,0.0,1.5112,1.6723,11.1336,0.2249,0.0153,0.0165,0.0182,0.0686,0.0694,0.6506,0.6384,307295085100,-59947000000,0.2379,0.277,0.0085,0.047,0.0253,0.0249,0.2807,7.7988,0.1774,2.38,0.3574,0.3339,1.347,12.4244,14.0419,3.1821,1.7673,-0.0016,0.0608,6.6576,0.0098,0.0095,0.0175,0.0972,0.0959,0.0419,0.069718844518377,0.1325,0.0402,-0.0572,-17074000.0,-0.0047,47.6829,173876000000,-0.0011,0.0592,0.0112,0.0267,FY2016.FQ4,4
60,0.5,2017-05-02,2017-03,87.84,3552804000,9.9517,9.8744,229795000000,63.2974,0.2166,0.0,1.2756,1.3297,0.0064,0.0765,0.0225,0.0416,1875356000000,-0.0006,0.0728,7.3295,7.1587,9805000000,0.1057,0.3931,2.7008,163175303360,0.71,6.3588,7.8798,1.6604,0.9293,0.0202,0.2222,0.1004,0.1012,-22559000000,0.0,-0.0549,-0.9045,-6.2139,0.2269,0.0149,0.0164,0.0188,0.0574,0.059,0.6296,0.6384,312078303360,-133995000000,0.1681,0.2585,0.0082,0.0601,0.0252,0.0252,0.303,5.9998,0.1006,2.2975,0.3344,0.338,1.358,12.1615,15.0704,3.1757,1.7774,0.0019,0.0731,6.8694,0.0101,0.0098,0.0178,0.1006,0.0961,0.044,0.069718844518377,0.1623,0.041,-0.0286,-8386000.0,-0.0023,48.3629,175577000000,0.0007,0.0505,0.0101,0.0228,FY2017.FQ1,1
61,0.5,2017-08-02,2017-06,91.4,3518964000,9.9162,9.8744,232415000000,64.5776,0.2295,-0.1775,1.3299,1.322,0.0054,0.0815,0.0225,0.0,1875629000000,-0.0008,0.0621,7.2562,7.1587,11253000000,0.054,0.4485,3.1267,194043309600,0.8349,7.3251,7.3766,1.9605,1.0868,0.0434,0.1741,0.1008,0.1012,4073000000,-0.1775,3.6725,0.1623,1.1317,0.279,0.0147,0.0162,0.0183,0.0412,0.0428,0.6313,0.6384,321633309600,-105383000000,0.1337,0.2801,0.0099,0.0758,0.0253,0.0252,0.2747,2.7973,0.0437,2.7088,0.3886,0.3467,1.3838,12.1416,12.227,3.2496,1.8015,0.0098,0.0289,6.9702,0.0103,0.0098,0.0176,0.103,0.0969,0.0447,0.069718844518377,0.1926,0.0416,-0.0289,-33840000.0,-0.0095,49.6068,178535000000,-0.0003,0.0393,0.0109,0.024,FY2017.FQ2,2
62,0.56,2017-11-01,2017-09,95.51,3469726000,9.9197,9.8744,232314000000,65.264,0.0963,0.0,1.3167,1.3153,0.005,0.0456,0.0342,0.12,1913628000000,0.0026,0.0568,7.4061,7.1587,11135000000,0.0762,0.4353,3.1281,189556530260,0.8159,7.0372,11.0092,1.8978,1.0621,0.0195,0.1139,0.1008,0.1012,-4895000000,0.0,-2.1677,-0.1913,-1.3751,0.2955,0.0148,0.016,0.018,0.0289,0.0301,0.6349,0.6384,331393530260,-117589000000,0.0709,0.2631,0.0182,0.1029,0.0257,0.0253,0.3181,6.2886,0.069,2.6845,0.3736,0.3546,1.4264,12.3029,19.2469,3.3179,1.8569,0.0061,0.0366,7.1856,0.0105,0.0099,0.0178,0.1042,0.0977,0.0448,0.069718844518377,0.1833,0.0419,-0.03,-49238000.0,-0.0139,50.1345,178459000000,-0.0005,0.0166,0.0091,0.0159,FY2017.FQ3,3
63,0.56,2018-02-27,2017-12,106.94,3425299000,9.9087,9.8726,229625000000,65.3048,0.1069,-0.0315,1.3136,1.3138,0.0115,0.05,0.0244,0.0,1883916000000,0.0067,0.0296,7.3678,7.1587,9886000000,-0.0236,0.3938,2.8115,219077475060,0.954,8.9635,-20.2343,2.1754,1.2502,-0.0357,-0.3742,0.1009,0.1012,12554000000,-0.0315,-0.6907,0.5001,3.5703,0.4872,0.0146,0.0156,0.0163,0.0401,0.0409,0.6445,0.6427,366301475060,-95422000000,-0.3708,0.1685,0.02,0.1083,0.0263,0.0254,0.5233,-4.1913,-0.0489,2.3474,0.3288,0.3459,1.5952,14.9871,-33.8322,3.6373,2.0903,0.0052,0.0339,7.1389,0.0095,0.0099,0.0176,0.095,0.0977,0.041,0.069718844518377,0.1623,0.0419,-0.0357,-44427000.0,-0.0128,49.8359,175233000000,0.0033,0.0171,0.0058,0.0059,FY2017.FQ4,4
64,0.56,2018-05-02,2018-03,109.97,3404777000,10.1864,9.9105,230133000000,66.1396,-0.099,0.0,1.3131,1.3133,0.0156,0.0449,0.0244,0.0,1857335000000,0.0064,-0.0096,7.2495,7.2239,12459000000,0.2706,0.4464,3.5806,268555326690,1.1669,10.0563,-11.488,2.5904,1.5293,0.035,0.4363,0.0981,0.1009,-35109000000,0.0,-0.5563,-1.258,-10.0902,0.1828,0.0143,0.0151,0.0144,0.0429,0.0436,0.6284,0.6427,374423326690,-78382000000,0.3511,0.3121,0.0199,0.1034,0.0274,0.0254,0.2362,4.0049,0.2782,3.0642,0.382,0.3598,1.6269,14.0207,-16.0167,3.6115,2.1322,0.0205,0.119,8.0204,0.0103,0.0101,0.0185,0.1043,0.0981,0.0451,0.069718844518377,0.1579,0.0421,-0.0415,-20522000.0,-0.0059,50.467,175600000000,0.0076,0.0249,0.0041,0.0013,FY2018.FQ1,1
65,0.56,2018-08-01,2018-06,104.2,3360884000,10.06,9.9143,231390000000,67.3683,-0.0979,0.0823,1.3064,1.3097,0.0127,0.0087,0.0244,0.0,1870606000000,0.0085,-0.0026,7.2656,7.2529,12499000000,0.1107,0.4503,3.639,253325112800,1.0947,9.0499,30.762,2.3822,1.4323,0.0566,0.2582,0.0994,0.1008,35685000000,0.0823,7.7613,1.2858,10.3895,0.2133,0.0139,0.0148,0.0125,0.0436,0.0444,0.6531,0.6427,350204112800,-68830000000,0.183,0.2996,0.0185,0.1046,0.0282,0.0255,0.2445,2.2089,0.0844,3.0779,0.3809,0.3679,1.5134,12.5108,42.5263,3.2932,1.9801,0.0194,0.1063,8.0801,0.0107,0.0101,0.0189,0.1089,0.0989,0.0471,0.069718844518377,0.1527,0.0429,-0.0456,-43893000.0,-0.0128,51.4906,176855000000,0.0097,0.0104,0.0039,-0.0039,FY2018.FQ2,2
66,0.8,2018-10-31,2018-09,112.84,3325411000,10.0989,9.9179,231192000000,68.1118,-0.0845,0.0,1.2927,1.3097,0.0099,0.0137,0.0616,0.4285,1899256000000,0.0083,-0.0075,7.3342,7.2609,12681000000,0.1388,0.4651,3.7359,226266377240,0.9786,7.6338,8.597,2.0946,1.2819,0.0565,0.3295,0.099,0.1008,13189000000,0.0,3.6943,0.4838,3.8856,0.216,0.0137,0.0147,0.0119,0.0443,0.0455,0.6541,0.6449,375239377240,-84338000000,0.2448,0.3074,0.0202,0.0867,0.0285,0.0256,0.3418,2.2388,0.1185,3.1491,0.3921,0.3772,1.623,12.6598,14.2573,3.4737,2.126,0.016,0.0657,8.0311,0.0113,0.0102,0.0196,0.1147,0.1018,0.0499,0.069718844518377,0.1631,0.0443,-0.0464,-35473000.0,-0.0105,51.9974,176495000000,0.0076,0.0203,0.0034,0.0022,FY2018.FQ3,3
67,0.8,2019-02-26,2018-12,97.62,3275766000,10.2236,9.9357,230447000000,68.8435,-0.3536,0.0,1.3695,1.3133,0.01,0.0184,0.0524,0.0,1849816000000,0.0046,-0.0181,7.2113,7.2609,10916000000,0.1041,0.422,3.261,323018276920,1.4017,9.9469,20.6877,2.9693,1.8343,0.0247,0.8504,0.0978,0.1006,1849000000,0.0,-0.8527,0.0714,0.5523,0.2007,0.0136,0.0146,0.0121,0.0578,0.0588,0.6694,0.6449,319780276920,72514000000,0.6696,0.2732,0.0237,0.1018,0.0293,0.026,0.404,3.9728,0.0711,2.6411,0.3418,0.3679,1.3876,9.8472,20.4803,2.9396,1.8159,0.0059,0.0303,7.7262,0.0124,0.0103,0.0197,0.1259,0.1036,0.054,0.069718844518377,0.1289,0.0447,-0.048,-49645000.0,-0.0149,52.6073,176098000000,0.0061,0.0351,0.0016,0.0032,FY2018.FQ4,4
68,0.8,2019-05-02,2019-03,101.23,3243973000,10.5342,10.0059,232844000000,70.3838,-0.2705,0.0,1.3939,1.3133,0.0082,0.0043,0.0524,0.0,1906303000000,0.0051,0.0263,7.3365,7.2976,13271000000,0.0651,0.4556,4.0115,316676386790,1.36,9.6134,-10.5009,2.8789,1.7723,0.053,0.1181,0.0949,0.0999,-80880000000,0.0,-1.3036,-2.7771,-24.4483,0.1828,0.0141,0.0144,0.0074,0.0233,0.0235,0.6402,0.6424,328387386790,59594000000,0.0536,0.3151,0.0222,0.0857,0.0299,0.0269,0.3018,1.8783,0.0535,3.3955,0.3857,0.3772,1.4103,9.9689,-10.8892,2.9853,1.8378,0.0167,0.0435,8.8032,0.0122,0.0104,0.0197,0.1275,0.1042,0.0535,0.069718844518377,0.1015,0.0449,-0.0492,-31793000.0,-0.0097,54.01,178676000000,0.0082,0.0488,0.0021,0.0141,FY2019.FQ1,1
69,0.8,2019-08-06,2019-06,111.8,3197485000,10.3617,10.0795,236222000000,72.4674,-0.3384,0.0,1.3249,1.3151,0.0103,0.0497,0.0524,0.0,1914001000000,0.0045,0.0231,7.2716,7.3005,13388000000,0.0711,0.4657,4.1071,378309823000,1.6015,11.0368,-4.7469,3.4084,2.0681,0.0512,0.2314,0.0965,0.0992,-13854000000,0.0,-1.3882,-0.4819,-4.25,0.149,0.0137,0.0142,0.0067,0.0089,0.0091,0.6277,0.6376,357478823000,80721000000,0.1606,0.3357,0.0205,0.0677,0.0298,0.0278,0.2836,2.033,0.0728,3.4794,0.3945,0.3814,1.5133,10.4291,-4.4855,3.2207,1.9542,0.017,0.0358,8.8189,0.0125,0.0106,0.0198,0.131,0.1066,0.0555,0.069718844518377,0.1033,0.0461,-0.0509,-46488000.0,-0.0143,56.1155,182920000000,0.0091,0.053,0.0034,0.0223,FY2019.FQ2,2
70,0.9,2019-11-04,2019-09,117.69,3136485000,10.4584,10.1427,235985000000,73.5797,-0.3877,0.0,1.3064,1.3151,0.0069,0.0455,0.0605,0.125,1953114000000,0.004,0.0283,7.3884,7.3029,13550000000,0.0685,0.4625,4.2248,409007919650,1.7331,11.6936,-5.3207,3.6187,2.2361,0.0496,0.1452,0.0956,0.0985,16015000000,0.0,0.2142,0.5467,4.9934,0.2038,0.014,0.014,0.0053,-0.0095,-0.0097,0.6197,0.6376,369132919650,88768000000,0.0835,0.3099,0.0166,0.023,0.0297,0.0283,0.3358,2.1234,0.0669,3.556,0.3893,0.3838,1.5642,10.5535,-4.802,3.2659,2.0181,0.0162,0.0745,9.1328,0.0127,0.011,0.02,0.1325,0.1118,0.0572,0.069718844518377,0.1003,0.0485,-0.0551,-61000000.0,-0.019,57.0301,182907000000,0.0082,0.0571,0.0032,0.0208,FY2019.FQ3,3
71,0.9,2020-02-25,2019-12,139.4,3084021000,10.2834,10.205,234337000000,74.4494,-0.0543,0.3515,1.272,1.3133,0.0082,0.0623,0.0605,0.0,1907330000000,0.0016,0.031,7.2985,7.3164,13025000000,0.1932,0.4553,4.138,457779527400,1.9535,12.5656,111.8718,3.9543,2.5292,0.0351,0.2979,0.0972,0.0979,82811000000,0.3515,43.7869,2.8948,26.3092,0.2173,0.0131,0.0139,0.0093,0.0132,0.0137,0.6385,0.6394,429912527400,68787000000,0.2057,0.2978,0.0149,-0.013,0.0296,0.0289,0.3501,3.3611,0.2313,3.4585,0.3805,0.3814,1.8345,11.8007,105.0617,3.7136,2.3752,0.0132,0.106,9.0881,0.0133,0.0118,0.0209,0.1386,0.1203,0.0605,0.069718844518377,0.1066,0.0517,-0.0596,-52464000.0,-0.0167,57.5028,180996000000,0.0047,0.0247,0.001,0.0187,FY2019.FQ4,4
72,0.9,2020-05-07,2020-03,90.03,3047023000,12.0164,10.2535,231199000000,74.5634,0.2145,0.0,1.3444,1.3133,0.0246,0.2293,0.0485,0.0,2241769000000,0.0159,0.1759,8.5805,7.3164,5407000000,-0.5925,0.1912,1.7437,206133480690,0.8915,6.8444,-5.8699,1.7936,1.1494,-0.0781,-0.7056,0.0832,0.0975,-120089000000,0.0,-0.4847,-4.2468,-38.7296,0.1074,0.0228,0.0139,0.0106,0.0618,0.0524,0.553,0.6394,274323480690,-16281000000,-0.6878,0.1013,0.0121,-0.0009,0.0275,0.0289,1.1538,-1.1654,-0.7142,1.0352,0.1135,0.3814,1.1865,9.1085,-7.8117,2.387,1.5296,0.01,-0.029,9.1195,0.0103,0.0118,0.016,0.1152,0.1206,0.0499,0.069718844518377,0.1047,0.0517,-0.0627,-36998000.0,-0.0119,57.8359,179332000000,0.0204,0.1469,0.0011,0.0054,FY2020.FQ1,1
73,0.9,2020-08-03,2020-06,94.06,3047604000,12.1494,10.3226,234403000000,76.0801,0.842,0.2077,1.3802,1.319,0.0294,0.2667,0.0485,0.0,2370474000000,0.0232,0.2384,8.9632,7.3164,7809000000,-0.4167,0.2361,2.5345,109931632240,0.4689,4.3706,1.7829,0.9218,0.6015,0.0257,-0.5106,0.0823,0.0968,82919000000,0.2077,6.9852,2.5073,26.913,0.1719,0.0327,0.0139,0.005,0.0226,0.0028,0.5067,0.6334,286657632240,-128712000000,-0.5144,0.1417,0.0061,-0.0378,0.0245,0.0289,0.6521,4.4227,-0.5009,1.837,0.1711,0.3814,1.2229,11.397,4.6493,2.4039,1.5687,0.0279,0.1504,10.7338,0.0079,0.0118,0.0124,0.0956,0.1206,0.0405,0.069718844518377,0.1321,0.0517,-0.0548,581000.0,0.0001,59.3099,182734000000,0.024,0.178,0.0033,0.0047,FY2020.FQ2,2
